Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Shots Tagged,2045.8974069779438,13.0,Shots,1,,,,,,,,,,,,,,,,,,,,,,
Shots Tagged,2053.109414208944,13.0,Shots,2,,,,,,,,,,,,,,Made 3,#23 Greg Jones,,,Right Wing 3,,,,
Shots Tagged,2193.995248624944,13.0,Shots,3,,,,,,,,,,,,,,Made 2,#16 Luke Brown,22+,Highly Contested,Rim,Layup,,,
Shots Tagged,2327.525102339944,13.0,Shots,4,,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Shots Tagged,2339.991641131944,13.0,Shots,5,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,22+,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Shots Tagged,2413.911050130944,13.0,Shots,6,,,,,,,,,,,,,,Made 2,#10 Adrian Samuels,N/A,Highly Contested,Rim,Layup,,,
Shots Tagged,3623.2598339603796,13.0,Shots,7,,,,,,,,,,,,,,Made 2,#16 Luke Brown,10-6,Lightly Contested,Rim,Layup,,,
Shots Tagged,3658.5254248703795,13.0,Shots,8,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Shots Tagged,3694.7103547463794,13.0,Shots,9,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,"21-11, 5-0",,Rim,Layup,,,
Shots Tagged,3748.9157252893797,13.0,Shots,10,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,10-6,Wide Open,Top of Key 3,Catch & Shoot,,,
Shots Tagged,3792.3093273293794,13.0,Shots,11,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Shots Tagged,3856.8128549933795,13.0,Shots,12,,,,,,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Lightly Contested,Rim,Layup,,,
Shots Tagged,3885.92647466438,13.0,Shots,13,,,,,,,,,,,,,,Made 2,#2 Madden Collins,21-11,Wide Open,Top of Key 2,Pullup,,,
Shots Tagged,3956.567564867379,13.0,Shots,14,,,,,,,,,,,,,,Made 3,#2 Madden Collins,10-6,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Shots Tagged,4113.38171775438,13.0,Shots,15,,,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Highly Contested,Rim,Layup,,,
Shots Tagged,4154.75022324838,13.0,Shots,16,,,,,,,,,,,,,,Miss 3,#13 Carson McDonald,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Shots Tagged,4199.16207087338,13.0,Shots,17,,,,,,,,,,,,,,Miss 2,#23 Greg Jones,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
Shots Tagged,4233.40435238338,13.0,Shots,18,,,,,,,,,,,,,,Made 2,#35 Chris Eagan,10-6,Highly Contested,Rim,Hook,,,
Shots Tagged,4283.65814140638,13.0,Shots,19,,,,,,,,,,,,,,Made 3,#4 Kade Sebastian,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
