Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
ShotsTagged,1913.886224334,13.0,Shots,1,,,,,,,,,,,,,,Made 2,#1 Kamran Prince,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,1925.850256626,13.0,Shots,2,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,22+,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,1927.985570959,13.0,Shots,3,,,,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,1988.263075499,13.0,Shots,4,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,22+,Lightly Contested,Rim,Hook,,,
ShotsTagged,1999.505963792,13.0,Shots,5,,,,,,,,,,,,,,Miss 2,#1 Kamran Prince,21-11,Lightly Contested,Rim,Floater,,,
ShotsTagged,2130.892523042,13.0,Shots,6,,,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,2141.812232667,13.0,Shots,7,,,,,,,,,,,,,,,,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,2192.419396334,13.0,Shots,8,,,,,,,,,,,,,,Made 3,#2 Madden Collins,21-11,Highly Contested,Right Wing 3,Catch & Shoot,,,
ShotsTagged,2208.131980541,13.0,Shots,9,,,,,,,,,,,,,,Miss 2,#16 Luke Brown,21-11,Highly Contested,Rim,Layup,,,
ShotsTagged,2266.637417875,13.0,Shots,10,,,,,,,,,,,,,,Made 2,,21-11,Highly Contested,Rim,Layup,,,
ShotsTagged,2335.903619041,13.0,Shots,11,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,22+,Wide Open,Rim,Hook,,,
ShotsTagged,2358.931398416,13.0,Shots,12,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,10-6,Highly Contested,Close Shot Right,Fadeaway,,,
ShotsTagged,2965.928573543,13.0,Shots,13,,,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,5-0,Wide Open,Rim,Layup,,,
ShotsTagged,3015.824175291,13.0,Shots,14,,,,,,,,,,,,,,Miss 2,#33 Matt Mayock,21-11,Highly Contested,Top of Key 2,Pullup,,,
ShotsTagged,3080.609676041,13.0,Shots,15,,,,,,,,,,,,,,Miss 3,,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,3235.671863708,13.0,Shots,16,,,,,,,,,,,,,,Miss 2,#7 Wyatt Nausadis,21-11,Highly Contested,Close Shot Middle,Other,,,
ShotsTagged,3602.265786625,13.0,Shots,17,,,,,,,,,,,,,,Miss 3,#3 Dean Hogans,10-6,Lightly Contested,Right Corner 3,Catch & Shoot,,,
ShotsTagged,3604.506551458,13.0,Shots,18,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,N/A,Wide Open,Rim,Putback,,,
ShotsTagged,3729.209168834,13.0,Shots,19,,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,10-6,Lightly Contested,Left Corner 2,Fadeaway,,,
ShotsTagged,3768.407110375,13.0,Shots,20,,,,,,,,,,,,,,Made 3,#2 Madden Collins,10-6,Highly Contested,Left Corner 3,Catch & Shoot,,,
ShotsTagged,3887.026169459,13.0,Shots,21,,,,,,,,,,,,,,Miss 2,#1 Kamran Prince,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
ShotsTagged,4022.562989458,13.0,Shots,22,,,,,,,,,,,,,,Miss 3,#23 Greg Jones,21-11,"Wide Open, Lightly Contested",Right Wing 3,"Catch & Shoot, Catch & Shoot",,,
ShotsTagged,4072.089264333,13.0,Shots,23,,,,,,,,,,,,,,Made 3,#2 Madden Collins,21-11,Lightly Contested,,Catch & Shoot,,,
ShotsTagged,4157.799942958,13.0,Shots,24,,,,,,,,,,,,,,Miss 3,#13 Carson McDonald,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
ShotsTagged,4201.446028041,13.0,Shots,25,,,,,,,,,,,,,,Miss 2,#12 Geoff Sprouse,21-11,Highly Contested,Rim,Layup,,,
ShotsTagged,4302.517347791,13.0,Shots,26,,,,,,,,,,,,,,Miss 2,#3 Dean Hogans,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,4326.2540495,13.0,Shots,27,,,,,,,,,,,,,,Made 2,#13 Carson McDonald,21-11,"Wide Open, Wide Open",Rim,"Dunk, Dunk",,,
ShotsTagged,4422.892877834,13.0,Shots,28,,,,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,4638.297030958,13.0,Shots,29,,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,21-11,Highly Contested,Close Shot Middle,Hook,,,
ShotsTagged,4672.684980208,13.0,Shots,30,,,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
ShotsTagged,4819.492368416,13.0,Shots,31,,,,,,,,,,,,,,Miss 2,#16 Luke Brown,21-11,Lightly Contested,Rim,Hook,,,
ShotsTagged,4896.642392833,13.0,Shots,32,,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Layup,,,
