Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
ShotsTagged,2059.6882406710947,13.0,Shots,1,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
ShotsTagged,2064.563535004095,13.0,Shots,2,,,,,,,,,,,,,,Made 3,#33 Matt Mayock,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagged,2082.332797714095,13.0,Shots,3,,,,,,,,,,,,,,Made 3,,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
ShotsTagged,2188.6478171300946,13.0,Shots,4,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
ShotsTagged,2240.0096460470945,13.0,Shots,5,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,5-0,Highly Contested,Left Wing 3,Pullup,,,
ShotsTagged,2263.5572994230947,13.0,Shots,6,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,,,Left Wing 3,,,,
ShotsTagged,2337.9729984210944,13.0,Shots,7,,,,,,,,,,,,,,Made 2,#16 Luke Brown,21-11,Lightly Contested,Rim,Hook,,,
ShotsTagged,2405.9536061300946,13.0,Shots,8,,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Right Wing 3,Pullup,,,
ShotsTagged,2459.7374807970946,13.0,Shots,9,,,,,,,,,,,,,,Miss 2,#4 Kade Sebastian,10-6,Wide Open,Close Shot Middle,Catch & Shoot,,,
ShotsTagged,4488.374514375,13.0,Shots,10,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Lightly Contested,Close Shot Middle,Floater,,,
ShotsTagged,4518.473080708,13.0,Shots,11,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Close Shot Left,Hook,,,
ShotsTagged,4650.730073167,13.0,Shots,12,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
ShotsTagged,4658.620695375,13.0,Shots,13,,,,,,,,,,,,,,Miss 3,#3 Dean Hogans,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
ShotsTagged,4727.793272125,13.0,Shots,14,,,,,,,,,,,,,,Made 2,#33 Matt Mayock,5-0,Highly Contested,Rim,Layup,,,
ShotsTagged,4947.342061333,13.0,Shots,15,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,5-0,Wide Open,Rim,Layup,,,
ShotsTagged,4990.950590958,13.0,Shots,16,,,,,,,,,,,,,,Made 2,#1 Kamran Prince,10-6,Wide Open,Left Wing 2,Step Back,,,
ShotsTagged,5055.201831792,13.0,Shots,17,,,,,,,,,,,,,,Miss 2,#33 Matt Mayock,,Highly Contested,Close Shot Right,Step Back,,,
ShotsTagged,5060.3977230411065,13.0,Shots,18,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
ShotsTagged,5081.66666925,13.0,Shots,19,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
ShotsTagged,5182.946883166,13.0,Shots,20,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,5-0,Lightly Contested,Left Wing 3,Catch & Shoot,,,
