Timeline,Start time,Duration,Row,Instance number,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#8 Jack Anderson,#9 Matthew Casey,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
ShotsTagged,3247.717846691667,13.0,Shots,1,,,,,,,,,,Made 3,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagged,3396.705661201667,13.0,Shots,2,,,,,Miss 3,,,,,,22+,Lightly Contested,Right Wing 3,Catch & Shoot,,,
ShotsTagged,3428.823269366667,13.0,Shots,3,,,,,,Miss 3,,,,,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
ShotsTagged,3498.217451533667,13.0,Shots,4,,,,,,Made 2,,,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,3523.112770075667,13.0,Shots,5,,,,Miss 3,,,,,,,10-6,Wide Open,Left Corner 3,Catch & Shoot,,,
ShotsTagged,3902.0248656193344,13.0,Shots,6,,,Miss 2,,,,,,,,10-6,Lightly Contested,Top of Key 2,Step Back,,,
ShotsTagged,3931.7045989533344,13.0,Shots,7,Miss 3,,,,,,,,,,21-11,Lightly Contested,Left Wing 3,Step Back,,,
ShotsTagged,3946.9030514913347,13.0,Shots,8,,,Made 2,,,,,,,,10-6,Wide Open,Rim,Layup,,,
ShotsTagged,4274.202826575334,13.0,Shots,9,,,Miss 3,,,,,,,,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
ShotsTagged,4298.800240985334,13.0,Shots,10,,,,Miss 3,,,,,,,21-11,Wide Open,Top of Key 3,Pullup,,,
ShotsTagged,4436.441275770335,13.0,Shots,11,,,Miss 2,,,,,,,,5-0,Highly Contested,Rim,Layup,,,
ShotsTagged,4437.7921306903345,13.0,Shots,12,,,,,,,,,Miss 2,,N/A,Highly Contested,Rim,Putback,,,
ShotsTagged,4596.205950910335,13.0,Shots,13,Miss 2,,,,,,,,,,5-0,Highly Contested,Rim,Pullup,,,
ShotsTagged,5824.127180569668,13.0,Shots,14,,,,,,,,Made 3,,,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagged,5840.348351571668,13.0,Shots,15,,,,,,Made 2,,,,,22+,Wide Open,Rim,Layup,,,
ShotsTagged,5854.245937696668,13.0,Shots,16,,,,,,,,,,Miss 3,22+,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagged,5981.822926278668,13.0,Shots,17,,Miss 2,,,,,,,,,10-6,Highly Contested,Rim,Layup,,,
ShotsTagged,6031.3232511956685,13.0,Shots,18,,,,,,,Miss 2,,,,21-11,Highly Contested,Close Shot Middle,Hook,,,
ShotsTagged,6041.967027154668,13.0,Shots,19,,,,Made 2,,,,,,,22+,Wide Open,Rim,Layup,,,
ShotsTagged,6073.097982361668,13.0,Shots,20,,,,,,,,Miss 2,,,5-0,Highly Contested,Rim,Layup,,,
