Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#12 Geoff Sprouse,#16 Luke Brown,#2 Madden Collins,#22 Shane O'Reilly,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
ShotsTagging,4568.264288225713,13.0,Shots,1,,,,,,,,,,,Made 3,#32 Julen Iturbe,22+,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagging,4581.863482879713,13.0,Shots,2,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Wide Open,Rim,Layup,,,
ShotsTagging,4648.998820296713,13.0,Shots,3,,,,,,,,,,,Made 3,#7 Wyatt Nausadis,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagging,4753.436236505713,13.0,Shots,4,,,,,,,,,,,,#33 Matt Mayock,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
ShotsTagging,4775.189755296713,13.0,Shots,5,,,,,,,,,,,Made 2,#16 Luke Brown,21-11,Wide Open,Right Wing 2,Catch & Shoot,,,
ShotsTagging,4815.533834880714,13.0,Shots,6,,,,,,,,,,,Miss 3,#2 Madden Collins,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
ShotsTagging,4826.101606171713,13.0,Shots,7,,,,,,,,,,,Made 2,#2 Madden Collins,22+,Wide Open,Rim,Layup,,,
ShotsTagging,4877.5022932137135,13.0,Shots,8,,,,,,,,,,,Miss 2,#12 Geoff Sprouse,21-11,Highly Contested,Close Shot Left,Fadeaway,,,
ShotsTagging,4894.686490505713,13.0,Shots,9,,,,,,,,,,,Miss 3,#32 Julen Iturbe,10-6,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagging,4906.383178880713,13.0,Shots,10,,,,,,,,,,,Miss 2,#33 Matt Mayock,21-11,Lightly Contested,Close Shot Left,Step Back,,,
ShotsTagging,4924.590503005713,13.0,Shots,11,,,,,,,,,,,Made 3,#10 Adrian Samuels,5-0,Wide Open,Right Corner 3,"Catch & Shoot, Step Back",,,
ShotsTagging,4940.917228463713,13.0,Shots,12,,,,,,,,,,,Miss 2,#2 Madden Collins,21-11,Lightly Contested,Top of Key 2,Pullup,,,
ShotsTagging,5082.532807421811,13.0,Shots,13,,,,,,,,,,,Made 2,#2 Madden Collins,5-0,Highly Contested,Left Wing 2,Fadeaway,,,
ShotsTagging,5109.396894546811,13.0,Shots,14,,,,,,,,,,,Made 2,#33 Matt Mayock,10-6,Lightly Contested,Rim,Layup,,,
ShotsTagging,5127.572369047812,13.0,Shots,15,,,,,,,,,,,Miss 3,#23 Greg Jones,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
ShotsTagging,5237.810382255811,13.0,Shots,16,,,,,,,,,,,Miss 2,#33 Matt Mayock,21-11,Lightly Contested,Close Shot Middle,Floater,,,
ShotsTagging,5295.290440422812,13.0,Shots,17,,,,,,,,,,,Made 2,#16 Luke Brown,21-11,Wide Open,Rim,Layup,,,
ShotsTagging,5320.238921047811,13.0,Shots,18,,,,,,,,,,,Miss 3,#22 Shane O'Reilly,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
ShotsTagging,5452.679860963812,13.0,Shots,19,,,,,,,,,,,Miss 3,#23 Greg Jones,5-0,Highly Contested,Left Corner 3,Pullup,,,
ShotsTagging,5474.856517380812,13.0,Shots,20,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
ShotsTagging,5523.377670671812,13.0,Shots,21,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Wide Open,Close Shot Middle,Fadeaway,,,
ShotsTagging,5634.859689797811,13.0,Shots,22,,,,,,,,,,,Miss 3,#10 Adrian Samuels,10-6,Lightly Contested,Right Corner 3,Catch & Shoot,,,
ShotsTagging,5643.333914546812,13.0,Shots,23,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
ShotsTagging,5671.588256380812,13.0,Shots,24,,,,,,,,,,,Made 3,#7 Wyatt Nausadis,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
ShotsTagging,5870.2928754638115,13.0,Shots,25,,,,,,,,,,,Miss 3,#23 Greg Jones,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
ShotsTagging,5876.827369171811,13.0,Shots,26,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Close Shot Middle,Hook,,,
ShotsTagging,5990.103137338811,13.0,Shots,27,,,,,,,,,,,Made 2,#33 Matt Mayock,10-6,Highly Contested,Close Shot Middle,Pullup,,,
