Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #12 Shots,1742.663450088247,13.0,Shots,1,,,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Wide Open,Close Shot Right,Hook,,,
Practice #12 Shots,1814.6322974582467,13.0,Shots,2,,,,,,,,,,,,,,Made 2,#23 Greg Jones,10-6,Lightly Contested,Rim,Layup,,,
Practice #12 Shots,1878.9914830732469,13.0,Shots,3,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #12 Shots,1981.8583513092467,13.0,Shots,4,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Lightly Contested,Rim,Hook,,,
Practice #12 Shots,1996.273083986247,13.0,Shots,5,,,,,,,,,,,,,,Made 3,#16 Luke Brown,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #12 Shots,2755.438955974103,13.0,Shots,6,,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice #12 Shots,2769.148296690103,13.0,Shots,7,,,,,,,,,,,,,,Made 3,#7 Wyatt Nausadis,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice #12 Shots,2821.688030731103,13.0,Shots,8,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,21-11,Highly Contested,,Other,,,
Practice #12 Shots,2827.596200605103,13.0,Shots,9,,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice #12 Shots,2882.907200522103,13.0,Shots,10,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,10-6,Highly Contested,Rim,Hook,,,
Practice #12 Shots,2960.107066272103,13.0,Shots,11,,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Fadeaway,,,
Practice #12 Shots,2983.072583815103,13.0,Shots,12,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice #12 Shots,3057.078263064103,13.0,Shots,13,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Wide Open,Right Wing 3,Step Back,,,
Practice #12 Shots,3089.887686436103,13.0,Shots,14,,,,,,,,,,,,,,Miss 3,#1 Kamran Prince,5-0,Wide Open,Left Wing 3,Step Back,,,
Practice #12 Shots,3287.924675614103,13.0,Shots,15,,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #12 Shots,3312.199900814103,13.0,Shots,16,,,,,,,,,,,,,,Miss 3,#2 Madden Collins,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #12 Shots,3355.091387022103,13.0,Shots,17,,,,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Highly Contested,Rim,Fadeaway,,,
Practice #12 Shots,3417.487219147103,13.0,Shots,18,,,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice #12 Shots,3445.194221523103,13.0,Shots,19,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
