Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #16 Shots,2153.9726768199976,13.0,Shots,1,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #16 Shots,2162.4695308609976,13.0,Shots,2,,,,,,,,,,,,Miss 3,#13 Carson McDonald,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #16 Shots,2271.9402426109973,13.0,Shots,3,,,,,,,,,,,,Made 2,#35 Chris Eagan,22+,Wide Open,Rim,Layup,,,
Practice #16 Shots,2289.6516329859974,13.0,Shots,4,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #16 Shots,2297.4342875279976,13.0,Shots,5,,,,,,,,,,,,Miss 2,#16 Luke Brown,21-11,Lightly Contested,Rim,Layup,,,
Practice #16 Shots,2342.569704831998,13.0,Shots,6,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,22+,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice #16 Shots,2368.959024498998,13.0,Shots,7,,,,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Hook,,,
Practice #16 Shots,2392.381231273998,13.0,Shots,8,,,,,,,,,,,,Miss 3,#35 Chris Eagan,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #16 Shots,2409.760365792998,13.0,Shots,9,,,,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Layup,,,
Practice #16 Shots,2448.862593935998,13.0,Shots,10,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,21-11,Highly Contested,Rim,Floater,,,
Practice #16 Shots,2479.045388765998,13.0,Shots,11,,,,,,,,,,,,Miss 2,#13 Carson McDonald,5-0,Lightly Contested,Rim,Fadeaway,,,
Practice #16 Shots,2518.320989080998,13.0,Shots,12,,,,,,,,,,,,Miss 3,#9 Matthew Casey,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #16 Shots,2560.809452371998,13.0,Shots,13,,,,,,,,,,,,Made 3,#4 Kade Sebastian,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #16 Shots,2622.952425391998,13.0,Shots,14,,,,,,,,,,,,Miss 2,#23 Greg Jones,10-6,Lightly Contested,Rim,Fadeaway,,,
Practice #16 Shots,2682.609476139998,13.0,Shots,15,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
