Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #19 Shots,1747.2764780037053,13.0,Shots,1,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Wide Open,Rim,Layup,,,
Practice #19 Shots,1847.3896627137053,13.0,Shots,2,,,,,,,,,Made 3,#9 Matthew Casey,22+,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #19 Shots,1912.8582123317053,13.0,Shots,3,,,,,,,,,,,,,,,,,
Practice #19 Shots,1935.3749311787053,13.0,Shots,4,,,,,,,,,Miss 2,#7 Wyatt Nausadis,10-6,Lightly Contested,Rim,Hook,,,
Practice #19 Shots,2012.2823599257051,13.0,Shots,5,,,,,,,,,Miss 3,#33 Matt Mayock,10-6,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice #19 Shots,2024.861232761705,13.0,Shots,6,,,,,,,,,Miss 2,#32 Julen Iturbe,10-6,Highly Contested,Rim,Other,,,
Practice #19 Shots,2037.3779075117052,13.000000000000227,Shots,7,,,,,,,,,Miss 3,#4 Kade Sebastian,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #19 Shots,2052.3726011367053,13.0,Shots,8,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Lightly Contested,Close Shot Left,Hook,,,
Practice #19 Shots,4710.02406138304,13.0,Shots,9,,,,,,,,,Miss 2,#12 Geoff Sprouse,10-6,Lightly Contested,Close Shot Right,Fadeaway,,,
Practice #19 Shots,4833.090987383041,13.0,Shots,10,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Wide Open,Rim,Layup,,,
Practice #19 Shots,5034.35188154404,13.0,Shots,11,,,,,,,,,Miss 3,#7 Wyatt Nausadis,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
