Timeline,Start time,Duration,Row,Instance number,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #22 Shots,2108.992912496016,13.0,Shots,1,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #22 Shots,2192.677453453016,13.0,Shots,2,,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Hook,,,
Practice #22 Shots,2250.525108578016,13.0,Shots,3,,,,,,,,,,Made 2,#32 Julen Iturbe,22+,Wide Open,Rim,Layup,,,
Practice #22 Shots,2341.397111161016,13.0,Shots,4,,,,,,,,,,Made 3,#32 Julen Iturbe,21-11,Wide Open,Right Wing 3,Step Back,,,
Practice #22 Shots,2359.796604162016,13.0,Shots,5,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Wide Open,Rim,Hook,,,
Practice #22 Shots,2634.384771811997,13.0,Shots,6,,,,,,,,,,,,,,,,,,
Practice #22 Shots,2664.093869269997,13.0,Shots,7,,,,,,,,,,Miss 3,#13 Carson McDonald,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice #22 Shots,2669.957971686997,13.0,Shots,8,,,,,,,,,,Miss 3,#3 Dean Hogans,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice #22 Shots,2823.490027352997,13.0,Shots,9,,,,,,,,,,Made 3,#3 Dean Hogans,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #22 Shots,2915.751264145997,13.0,Shots,10,,,,,,,,,,,,,,,,,,
Practice #22 Shots,2967.9071143529973,13.0,Shots,11,,,,,,,,,,,,,,,,,,
Practice #22 Shots,3064.033240186997,13.0,Shots,12,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Rim,Layup,,,
Practice #22 Shots,3072.734407644997,13.0,Shots,13,,,,,,,,,,Miss 3,#35 Chris Eagan,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #22 Shots,3088.6053860619973,13.0,Shots,14,,,,,,,,,,Made 2,#13 Carson McDonald,21-11,Wide Open,Rim,Layup,,,
Practice #22 Shots,3242.312343750324,13.0,Shots,15,,,,,,,,,,Made 3,#33 Matt Mayock,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #22 Shots,3281.3403582923243,13.0,Shots,16,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #22 Shots,3397.137924292324,13.0,Shots,17,,,,,,,,,,Miss 3,#3 Dean Hogans,5-0,"Wide Open, Wide Open",Top of Key 3,Pullup,,,
Practice #22 Shots,3400.690207958324,13.0,Shots,18,,,,,,,,,,Made 2,#16 Luke Brown,21-11,Wide Open,Rim,Layup,,,
Practice #22 Shots,3470.030298958324,13.0,Shots,19,,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Lightly Contested,Rim,Hook,,,
Practice #22 Shots,3599.463924500324,13.0,Shots,20,,,,,,,,,,Miss 3,#4 Kade Sebastian,5-0,Wide Open,Left Corner 3,Catch & Shoot,,,
