Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#2 Madden Collins,#22 Shane O'Reilly,#23 Greg Jones,#32 Julen Iturbe,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#8 Jack Anderson,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #8 Shots,3874.62231003512,13.0,Shots,1,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Lightly Contested,Rim,Hook,,,
Practice #8 Shots,4039.4516056191205,13.0,Shots,2,,,,,,,,,,,,,Made 2,#2 Madden Collins,21-11,Highly Contested,Rim,Layup,,,
Practice #8 Shots,4082.4112173641206,13.0,Shots,3,,,,,,,,,,,,,Miss 2,#2 Madden Collins,21-11,Highly Contested,Rim,Layup,,,
Practice #8 Shots,4169.71460898312,13.0,Shots,4,,,,,,,,,,,,,Made 2,#2 Madden Collins,21-11,Highly Contested,Rim,Layup,,,
Practice #8 Shots,4254.33834183012,13.0,Shots,5,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice #8 Shots,4392.39590741012,13.0,Shots,6,,,,,,,,,,,,,Made 3,#33 Matt Mayock,22+,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice #8 Shots,4427.0129059051205,13.0,Shots,7,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #8 Shots,4449.48131343612,13.0,Shots,8,,,,,,,,,,,,,Made 3,#13 Carson McDonald,21-11,Wide Open,Right Wing 2,Catch & Shoot,,,
Practice #8 Shots,4509.732113036121,13.0,Shots,9,,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,21-11,Highly Contested,Rim,Layup,,,
Practice #8 Shots,4534.824170026121,13.0,Shots,10,,,,,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Hook,,,
Practice #8 Shots,4688.306824832121,13.0,Shots,11,,,,,,,,,,,,,Made 2,#12 Geoff Sprouse,21-11,Wide Open,,Layup,,,
Practice #8 Shots,4799.66153982212,13.0,Shots,12,,,,,,,,,,,,,Miss 2,#10 Adrian Samuels,5-0,Highly Contested,Close Shot Middle,Other,,,
Practice #8 Shots,4907.51336835112,13.0,Shots,13,,,,,,,,,,,,,Made 3,#23 Greg Jones,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #8 Shots,4939.50342592212,13.0,Shots,14,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice #8 Shots,4971.56909659212,13.0,Shots,15,,,,,,,,,,,,,Miss 2,#4 Kade Sebastian,,Highly Contested,Rim,Other,,,
Practice #8 Shots,5147.64135236412,13.0,Shots,16,,,,,,,,,,,,,Miss 3,#23 Greg Jones,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #8 Shots,5180.61973805212,13.0,Shots,17,,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Highly Contested,Rim,Layup,,,
