Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#8 Jack Anderson,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #9 Shots,5044.825346984137,13.0,Shots,1,,,,,,,,,,,,,Made 2,#13 Carson McDonald,5-0,Lightly Contested,Close Shot Middle,Hook,,,
Practice #9 Shots,5074.184437443137,13.0,Shots,2,,,,,,,,,,,,,Miss 3,#10 Adrian Samuels,10-6,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice #9 Shots,5112.5919725261365,13.0,Shots,3,,,,,,,,,,,,,Made 2,#13 Carson McDonald,10-6,Lightly Contested,Rim,Dunk,,,
Practice #9 Shots,5162.859796276137,13.0,Shots,4,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #9 Shots,5166.742543817137,13.0,Shots,5,,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Lightly Contested,Close Shot Middle,Fadeaway,,,
Practice #9 Shots,5274.2069773591365,13.0,Shots,6,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,,Hook,,,
Practice #9 Shots,5350.0415097341365,13.0,Shots,7,,,,,,,,,,,,,Made 2,#35 Chris Eagan,10-6,Highly Contested,Close Shot Left,Hook,,,
Practice #9 Shots,5380.408093568137,13.0,Shots,8,,,,,,,,,,,,,Made 2,#8 Jack Anderson,21-11,Wide Open,Rim,Layup,,,
Practice #9 Shots,5421.755252651136,13.0,Shots,9,,,,,,,,,,,,,Miss 2,#23 Greg Jones,21-11,Lightly Contested,Left Wing 2,Fadeaway,,,
Practice #9 Shots,5585.953820734137,13.0,Shots,10,,,,,,,,,,,,,Miss 3,#13 Carson McDonald,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #9 Shots,5649.899223735137,13.0,Shots,11,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,5-0,Wide Open,Left Wing 2,Fadeaway,,,
Practice #9 Shots,5720.803206443136,13.0,Shots,12,,,,,,,,,,,,,Made 2,#13 Carson McDonald,5-0,Lightly Contested,Close Shot Middle,Hook,,,
Practice #9 Shots,5810.4207249001365,13.0,Shots,13,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #9 Shots,6015.457194485137,13.0,Shots,14,,,,,,,,,,,,,Miss 3,#2 Madden Collins,5-0,Lightly Contested,Right Wing 3,Pullup,,,
