Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#8 Jack Anderson,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
P1 - Shot Labelling,1736.235198613,13.0,Shots,1,,,,,,,,,,,,Made 3,#32 Julen Iturbe,21-11,Lightly Contested,Right Corner 3,Pullup,,,
P1 - Shot Labelling,1777.571436405,13.0,Shots,2,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,1893.710863103,13.0,Shots,3,,,,,Made 2,,,,,,,,,21-11,Highly Contested,Close Shot Right,Fadeaway,,,
P1 - Shot Labelling,1924.898684819,13.0,Shots,4,,,,,,,,,,,,Miss 2,#12 Geoff Sprouse,21-11,Highly Contested,Rim,Layup,,,
P1 - Shot Labelling,1963.97692815,13.0,Shots,5,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Highly Contested,Rim,Layup,,,
P1 - Shot Labelling,2001.310694807,13.0,Shots,6,,,,,,,,,,,,Made 2,#8 Jack Anderson,21-11,Wide Open,Rim,Layup,,,
P1 - Shot Labelling,2294.761859244,13.0,Shots,7,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,2338.290552236,13.0,Shots,8,,,,,,,,,,,,Made 3,#4 Kade Sebastian,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,2436.080467086,13.0,Shots,9,,,,,,,,,,,,Miss 2,#1 Kamran Prince,10-6,Highly Contested,Left Wing 2,Fadeaway,,,
P1 - Shot Labelling,2779.868179302,13.0,Shots,10,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
P1 - Shot Labelling,2794.896801036,13.0,Shots,11,,,,,,,,,,,,Made 3,#4 Kade Sebastian,10-6,Lightly Contested,Left Corner 3,Catch & Shoot,,,
P1 - Shot Labelling,3676.205974438,13.0,Shots,12,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Highly Contested,Close Shot Middle,Fadeaway,,,
P1 - Shot Labelling,3751.965983738,13.0,Shots,13,,,,,,,,,,,,Miss 2,#1 Kamran Prince,22+,Highly Contested,Close Shot Middle,Fadeaway,,,
P1 - Shot Labelling,3814.315028472,13.0,Shots,14,,,,,,,,,,,,Made 2,#35 Chris Eagan,22+,Highly Contested,Rim,Layup,,,
P1 - Shot Labelling,3869.48050921,13.0,Shots,15,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,3930.640147752,13.0,Shots,16,,,,,,,,,,,,Made 2,#32 Julen Iturbe,5-0,Lightly Contested,Rim,Layup,,,
P1 - Shot Labelling,3940.797833156,13.0,Shots,17,,,,,,,,,,,,Made 2,#1 Kamran Prince,22+,"Lightly Contested, Highly Contested",Rim,Layup,,,
P1 - Shot Labelling,3995.696530262,13.0,Shots,18,,,,,,,,,,,,Miss 2,#16 Luke Brown,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
P1 - Shot Labelling,4003.909017954,13.0,Shots,19,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,22+,Lightly Contested,Right Wing 3,Pullup,,,
P1 - Shot Labelling,5085.10991522,13.0,Shots,20,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,5129.165687781,13.0,Shots,21,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,5137.548915907,13.0,Shots,22,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Lightly Contested,Right Wing 3,Pullup,,,
P1 - Shot Labelling,5187.27675034,13.0,Shots,23,,,,,,,,,,,,Miss 2,#12 Geoff Sprouse,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
P1 - Shot Labelling,5218.015304391,13.0,Shots,24,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,5236.70282099,13.0,Shots,25,,,,,,,,,,,,Miss 3,#35 Chris Eagan,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,5348.915589426,13.0,Shots,26,,,,,,,,,,,,Miss 2,#16 Luke Brown,10-6,Highly Contested,Rim,Layup,,,
P1 - Shot Labelling,5359.353687797,13.0,Shots,27,,,,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Layup,,,
P1 - Shot Labelling,5381.739289429,13.0,Shots,28,,,,,,,,,,,,"Miss 2, Miss 3",#33 Matt Mayock,10-6,Highly Contested,Left Wing 3,Catch & Shoot,,,
P1 - Shot Labelling,5473.137135467,13.0,Shots,29,,,,,,,,,,,,Made 2,#10 Adrian Samuels,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
