Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 20 Shots,1786.269897197399,13.0,Shots,1,Miss 2,,,,,,,,,,,#12 Geoff Sprouse,21-11,Highly Contested,Rim,Layup,,,
Practice 20 Shots,1841.275406110399,13.0,Shots,2,,Miss 2,,,,,,,,,,#13 Carson McDonald,10-6,Highly Contested,Close Shot Middle,Hook,,,
Practice 20 Shots,1930.084145892399,13.0,Shots,3,,,,,,,Miss 3,,,,,#33 Matt Mayock,22+,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,1947.0301136853989,13.0,Shots,4,,,Made 3,,,,,,,,,#16 Luke Brown,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice 20 Shots,1989.919709805399,13.0,Shots,5,,,,,,Made 3,,,,,,#32 Julen Iturbe,22+,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 20 Shots,2135.723451850399,13.0,Shots,6,,,,,,Miss 3,,,,,,#32 Julen Iturbe,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 20 Shots,2137.088261018399,13.0,Shots,7,,,,,,,,Miss 2,,,,#35 Chris Eagan,21-11,Lightly Contested,Rim,Putback,,,
Practice 20 Shots,2139.0820542683987,13.0,Shots,8,,,,,,,,Made 2,,,,#35 Chris Eagan,22+,Wide Open,Rim,Putback,,,
Practice 20 Shots,2147.1457761843985,13.0,Shots,9,,,,,Made 3,,,,,,,#3 Dean Hogans,22+,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,3680.8383771340787,13.0,Shots,10,,,,,,,,Miss 2,,,Miss 2,#35 Chris Eagan,10-6,Highly Contested,Rim,Layup,,,
Practice 20 Shots,3687.813441255079,13.0,Shots,11,,,,,Miss 3,,,,,,,#3 Dean Hogans,22+,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,3707.234465257079,13.0,Shots,12,,,,,,,Made 2,,,,,#33 Matt Mayock,21-11,Lightly Contested,Rim,Layup,,,
Practice 20 Shots,3721.4179414850787,13.0,Shots,13,Miss 2,,,,,,,,,,,#12 Geoff Sprouse,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 20 Shots,3849.516521322079,13.0,Shots,14,,,Miss 3,,,,,,,,,#16 Luke Brown,22+,Wide Open,Left Wing 3,Pullup,,,
Practice 20 Shots,3875.2220072030786,13.0,Shots,15,,,,Miss 2,,,,,,,,#21 Noah Jones,10-6,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 20 Shots,3920.2872454500794,13.0,Shots,16,,,,,,,,Miss 2,,,,#35 Chris Eagan,21-11,Highly Contested,Rim,Hook,,,
Practice 20 Shots,4029.975226251079,13.0,Shots,17,,,,,,,Miss 3,,,,,#33 Matt Mayock,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,4033.113257329079,13.0,Shots,18,,,,,,Miss 2,,,,,,#32 Julen Iturbe,21-11,Highly Contested,Rim,"Layup, Putback",,,
Practice 20 Shots,4037.6315933670794,13.0,Shots,19,,,,,,,,Miss 2,,,,#35 Chris Eagan,21-11,Highly Contested,Rim,Putback,,,
Practice 20 Shots,4103.5960048730785,13.0,Shots,20,,,,,,Made 2,,,,,,#32 Julen Iturbe,21-11,Highly Contested,Close Shot Middle,Floater,,,
Practice 20 Shots,4129.140976914079,13.0,Shots,21,,,,,,Miss 3,,,,,,#32 Julen Iturbe,21-11,Highly Contested,Top of Key 3,Catch & Shoot,,,
Practice 20 Shots,4215.301500080079,13.0,Shots,22,,,,,,,Made 3,,,,,#33 Matt Mayock,5-0,Highly Contested,Left Wing 3,Pullup,,,
Practice 20 Shots,4323.691851913079,13.0,Shots,23,,,,,Miss 3,,,,,,,#3 Dean Hogans,10-6,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Practice 20 Shots,4359.707446081079,13.0,Shots,24,,,,,,,Made 2,,,,,#33 Matt Mayock,21-11,Wide Open,Rim,Layup,,,
Practice 20 Shots,4489.556806247079,13.0,Shots,25,,,,,,,,,,Made 2,,#7 Wyatt Nausadis,21-11,Highly Contested,Rim,Layup,,,
Practice 20 Shots,4512.478061663079,13.0,Shots,26,,,,,,Made 2,,,,,,#32 Julen Iturbe,10-6,Lightly Contested,Rim,Layup,,,
Practice 20 Shots,4631.478818747079,13.0,Shots,27,,,,,,,,,Miss 3,,,#4 Kade Sebastian,10-6,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,4643.805803196079,13.0,Shots,28,,,,,,,Made 2,,,,,#33 Matt Mayock,10-6,Highly Contested,Rim,Layup,,,
Practice 20 Shots,4713.034872712079,13.0,Shots,29,,,,,,,,,Made 3,,,#4 Kade Sebastian,22+,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice 20 Shots,4779.8557569550785,13.0,Shots,30,,,,,,,Made 3,,,,,#33 Matt Mayock,21-11,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice 20 Shots,4865.573752705079,13.0,Shots,31,,,,,,Miss 3,,,,,,#32 Julen Iturbe,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
