Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 21: Shots,2366.185417186108,13.0,Shots,1,,Miss 2,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Close Shot Middle,Hook,,,
Practice 21: Shots,2389.483862850108,13.0,Shots,2,,,,,Miss 3,,,,,,,Miss 3,#3 Dean Hogans,21-11,Highly Contested,Right Corner 3,Catch & Shoot,,,
Practice 21: Shots,2478.177604476108,13.0,Shots,3,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,22+,Highly Contested,Top of Key 3,Catch & Shoot,,,
Practice 21: Shots,2544.9894155161082,13.0,Shots,4,,,,,,Made 3,,,,,,Made 3,#32 Julen Iturbe,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 21: Shots,2561.940475601108,13.0,Shots,5,,Miss 2,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Rim,Layup,,,
Practice 21: Shots,2649.775633142108,13.0,Shots,6,,Miss 2,,,,,,,,,,Miss 2,#13 Carson McDonald,5-0,Highly Contested,Close Shot Middle,Hook,,,
Practice 21: Shots,2664.302434975108,13.0,Shots,7,,,,Made 3,,,,,,,,Made 3,#21 Noah Jones,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 21: Shots,2783.375995683108,13.0,Shots,8,,,,,,,,Made 3,,,,Made 3,#35 Chris Eagan,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice 21: Shots,3085.2122214781084,13.0,Shots,9,Miss 2,,,,,,,,,,,Miss 2,#10 Adrian Samuels,5-0,Lightly Contested,Top of Key 2,Step Back,,,
Practice 21: Shots,3186.432659311108,13.0,Shots,10,,,Miss 2,,,,,,,,,Miss 2,#16 Luke Brown,22+,Wide Open,Right Corner 2,Catch & Shoot,,,
Practice 21: Shots,3270.597395352108,13.0,Shots,11,,,,Miss 2,,,,,,,,Miss 2,#21 Noah Jones,10-6,Highly Contested,Right Corner 2,Step Back,,,
Practice 21: Shots,3274.196484352108,13.0,Shots,12,,,Made 2,,,,,,,,,Made 2,#16 Luke Brown,21-11,Highly Contested,Rim,Putback,,,
Practice 21: Shots,3326.834644269108,13.0,Shots,13,,,Miss 3,,,,,,,,,Miss 3,#16 Luke Brown,10-6,Highly Contested,Right Corner 3,Catch & Shoot,,,
Practice 21: Shots,3481.058056156802,13.0,Shots,14,,,,Made 2,,,,,,,,Made 2,#21 Noah Jones,10-6,Lightly Contested,Rim,Layup,,,
