Timeline,Start time,Duration,Row,Instance number,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 23 Shots,2297.176442581215,13.0,Shots,1,,,Made 2,,,,,,,Made 2,#21 Noah Jones,21-11,Highly Contested,Rim,Layup,,,
Practice 23 Shots,2381.778007465215,13.0,Shots,2,,,,,,,,Miss 3,,Miss 3,#4 Kade Sebastian,21-11,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice 23 Shots,2395.535539583215,13.0,Shots,3,,,,,Miss 3,,,,,Miss 3,#3 Dean Hogans,10-6,"Lightly Contested, Highly Contested",Right Wing 3,Catch & Shoot,,,
Practice 23 Shots,2449.0149315272147,13.0,Shots,4,,,,,,Made 2,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Close Shot Right,Fadeaway,,,
Practice 23 Shots,2923.037760660618,13.0,Shots,5,,,,,,,Made 3,,,Made 3,#33 Matt Mayock,10-6,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 23 Shots,2973.165438730618,13.0,Shots,6,,,,,,,,Miss 3,,Miss 3,#4 Kade Sebastian,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice 23 Shots,3144.015518251618,13.0,Shots,7,,,,,,,,,,Miss 3,#21 Noah Jones,10-6,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 23 Shots,3164.145012616618,13.0,Shots,8,,Made 2,,,,,,,,Made 2,#16 Luke Brown,21-11,Wide Open,"Close Shot Middle, Rim","Hook, Floater",,,
Practice 23 Shots,3183.741504535618,13.0,Shots,9,,,,,,Miss 3,,,,Miss 3,#32 Julen Iturbe,21-11,Highly Contested,Right Corner 3,Catch & Shoot,,,
Practice 23 Shots,4611.600577288356,13.0,Shots,10,,,,Made 2,,,,,,Made 2,#23 Greg Jones,10-6,Highly Contested,Rim,Layup,,,
Practice 23 Shots,4641.5819035813565,13.0,Shots,11,,,Miss 3,,,,,,,Miss 3,#21 Noah Jones,5-0,Highly Contested,Left Wing 3,Catch & Shoot,,,
Practice 23 Shots,4761.934177580357,13.0,Shots,12,,,,,,Miss 2,,,,Miss 2,#32 Julen Iturbe,10-6,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 23 Shots,4772.110556967356,13.0,Shots,13,,,,,,,,,Made 2,Made 3,#7 Wyatt Nausadis,22+,Highly Contested,Rim,Layup,,,
Practice 23 Shots,4845.097003038357,13.0,Shots,14,,Miss 2,,,,,,,,Miss 2,#16 Luke Brown,21-11,Highly Contested,Close Shot Right,Hook,,,
Practice 23 Shots,4875.936773757357,13.0,Shots,15,,,,,Miss 3,,,,,Miss 3,#3 Dean Hogans,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 23 Shots,5434.613763634439,13.0,Shots,16,,,,,,Made 2,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Layup,,,
Practice 23 Shots,5465.877491477439,13.0,Shots,17,,,,,,,,,Miss 3,"Miss 2, Miss 3",#7 Wyatt Nausadis,10-6,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 23 Shots,5529.44849568244,13.0,Shots,18,,,,,,,Made 3,,,Made 3,#33 Matt Mayock,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Practice 23 Shots,5571.29798154744,13.0,Shots,19,Miss 2,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Wide Open,Close Shot Left,Floater,,,
Practice 23 Shots,5572.01712517244,13.0,Shots,20,Miss 2,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Lightly Contested,Rim,Putback,,,
Practice 23 Shots,5752.394455339439,13.0,Shots,21,,,,,Made 3,,,,,Made 3,#3 Dean Hogans,5-0,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice 23 Shots,5780.43033496444,13.0,Shots,22,,,,,,,,,Made 3,Made 3,#7 Wyatt Nausadis,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice 23 Shots,5834.58971192344,13.0,Shots,23,,Made 2,,,,,,,,Made 2,#16 Luke Brown,21-11,Wide Open,Close Shot Middle,Floater,,,
Practice 23 Shots,5890.820294297439,13.0,Shots,24,,,,,Miss 3,,,,,Miss 3,#3 Dean Hogans,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 23 Shots,5896.61302538144,13.0,Shots,25,,,,,,Miss 2,,,,Miss 2,#32 Julen Iturbe,21-11,Lightly Contested,Close Shot Left,Hook,,,
Practice 23 Shots,5961.90355964444,13.0,Shots,26,,,,,Made 2,,,,,Made 2,#3 Dean Hogans,21-11,Highly Contested,Rim,Layup,,,
Practice 23 Shots,5995.049843783439,13.0,Shots,27,,Miss 3,,,,,,,,Miss 3,#16 Luke Brown,5-0,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice 23 Shots,6003.732314506439,13.0,Shots,28,,,,,,,Made 2,,,Made 2,#33 Matt Mayock,21-11,Lightly Contested,Rim,Layup,,,
