Timeline,Start time,Duration,Row,Instance number,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 24 Shots,1853.3243525656512,13.0,Shots,1,,,,,Made 2,,,,,,,Made 2,#3 Dean Hogans,21-11,Lightly Contested,Rim,Layup,,,
Practice 24 Shots,1974.2548343166513,13.0,Shots,2,,,,,Miss 3,,,,,,,Miss 3,#3 Dean Hogans,10-6,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice 24 Shots,1995.5648794826511,13.0,Shots,3,,,,,Made 2,,,,,,,Made 2,#3 Dean Hogans,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 24 Shots,2074.925966941651,13.0,Shots,4,,,,,Made 2,,,,,,,"Miss 2, Made 2",#3 Dean Hogans,22+,Lightly Contested,Rim,Layup,,,
Practice 24 Shots,2109.008876818651,13.0,Shots,5,,,,,,,Miss 3,,,,,Miss 3,#33 Matt Mayock,"5-0, 5-0",Highly Contested,Left Wing 3,Catch & Shoot,,,
Practice 24 Shots,2181.756183529651,13.0,Shots,6,,,,,,,,,,,Made 3,Made 3,#9 Matthew Casey,5-0,Highly Contested,Right Corner 3,Catch & Shoot,,,
Practice 24 Shots,2212.793938737651,13.0,Shots,7,,,,,,,,,,,Made 3,Made 3,#9 Matthew Casey,10-6,Highly Contested,Left Corner 3,Catch & Shoot,,,
Practice 24 Shots,2291.1234981976513,13.0,Shots,8,,,Made 2,,,,,,,,,Made 2,#21 Noah Jones,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 24 Shots,2319.3695583626513,13.0,Shots,9,,,,,,,,,,,Miss 3,Miss 3,#9 Matthew Casey,10-6,Highly Contested,Left Corner 3,Catch & Shoot,,,
Practice 24 Shots,2430.833596320651,13.0,Shots,10,,,Miss 2,,,,,,,,,Miss 2,#21 Noah Jones,21-11,Highly Contested,Rim,Layup,,,
Practice 24 Shots,2485.0771750306512,13.0,Shots,11,,,,,,,,,,,Miss 2,Miss 2,#9 Matthew Casey,5-0,Highly Contested,Top of Key 2,Pullup,,,
