Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Shots Practice 25,2531.0395595432137,13.0,Shots,1,,,,,,,,Made 3,,,,,Made 3,#33 Matt Mayock,5-0,Highly Contested,Left Corner 3,Catch & Shoot,,,
Shots Practice 25,2615.633100673214,13.0,Shots,2,,,,,,,,,,,Miss 3,,Miss 3,#7 Wyatt Nausadis,21-11,Highly Contested,Left Wing 3,Catch & Shoot,,,
Shots Practice 25,2617.950158602214,13.0,Shots,3,,,,,,,Miss 2,,,,,,Miss 2,#32 Julen Iturbe,22+,Lightly Contested,Rim,Putback,,,
Shots Practice 25,2726.124732058214,13.0,Shots,4,,,,,,Made 2,,,,,,,Made 2,#23 Greg Jones,21-11,Lightly Contested,Close Shot Middle,Floater,,,
Shots Practice 25,2837.859412849214,13.0,Shots,5,,,,,,Miss 3,,,,,,,Miss 3,#23 Greg Jones,10-6,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Shots Practice 25,2926.927036467214,13.0,Shots,6,,,,Made 3,,,,,,,,,Made 3,#2 Madden Collins,5-0,Wide Open,Right Wing 3,Catch & Shoot,,,
Shots Practice 25,3008.257679389214,13.0,Shots,7,,,,,,Made 2,,,,,,,Made 2,#23 Greg Jones,21-11,Highly Contested,Rim,Layup,,,
Shots Practice 25,3100.463520724214,13.0,Shots,8,,,,,,,,,,,Made 3,,Made 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Shots Practice 25,3172.558585936214,13.0,Shots,9,Miss 3,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Shots Practice 25,3218.601138850214,13.0,Shots,10,,,,,,,Made 2,,,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Layup,,,
Shots Practice 25,3260.209449111214,13.0,Shots,11,,,,,Miss 3,,,,,,,,Miss 3,#21 Noah Jones,21-11,Highly Contested,Left Wing 3,Catch & Shoot,,,
Shots Practice 25,5230.803195571191,13.0,Shots,12,,,,,,,,,,Miss 3,,,Miss 3,#4 Kade Sebastian,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
Shots Practice 25,5275.743857155191,13.0,Shots,13,,,,,,,,,,,Miss 3,,Miss 3,#7 Wyatt Nausadis,21-11,Highly Contested,Left Wing 3,Pullup,,,
Shots Practice 25,5288.113138140191,13.0,Shots,14,,,,,,,,,,,Miss 3,,Miss 3,#7 Wyatt Nausadis,10-6,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Shots Practice 25,5303.575761348191,13.0,Shots,15,,,,,,,,Made 2,,,,,Made 2,#33 Matt Mayock,21-11,Highly Contested,Rim,Layup,,,
Shots Practice 25,5335.211220225191,13.0,Shots,16,,,,,,,,,,,Miss 3,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Shots Practice 25,5373.252518995191,13.0,Shots,17,,,Miss 2,,,,,,,,,,Miss 2,#16 Luke Brown,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
Shots Practice 25,5551.161285282192,13.0,Shots,18,,,,,Made 3,,,,,,,,Made 3,#21 Noah Jones,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Shots Practice 25,5649.520035636191,13.0,Shots,19,,,,,,,,,Made 2,,,,Made 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Layup,,,
Shots Practice 25,5671.6951037731915,13.0,Shots,20,,,,,,,,,,Made 3,,,Made 3,#4 Kade Sebastian,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
Shots Practice 25,5722.130490158192,13.0,Shots,21,,,,,,,,,Made 2,,,,Made 2,#35 Chris Eagan,10-6,Highly Contested,Rim,Layup,,,
Shots Practice 25,5762.630915604192,13.0,Shots,22,,Miss 3,,,,,,,,,,,Miss 3,#13 Carson McDonald,10-6,Lightly Contested,Right Wing 3,Pullup,,,
Shots Practice 25,5813.753793036191,13.0,Shots,23,,,,,,,,,Miss 2,,,,Miss 2,#35 Chris Eagan,5-0,Highly Contested,Rim,Layup,,,
Shots Practice 25,5838.721100814191,13.0,Shots,24,,,,,,,,,,,,Miss 3,Miss 3,#9 Matthew Casey,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Shots Practice 25,5900.401887849192,13.0,Shots,25,,,,,,,,Miss 3,,,,,Miss 3,#33 Matt Mayock,10-6,Highly Contested,Left Wing 3,Pullup,,,
Shots Practice 25,5938.797160807191,13.0,Shots,26,,,,,,,Miss 2,,,,,,Miss 2,#32 Julen Iturbe,21-11,Highly Contested,Close Shot Right,Fadeaway,,,
Shots Practice 25,6018.340025735191,13.0,Shots,27,,,,,,,,Miss 2,,,,,Miss 2,#33 Matt Mayock,10-6,Highly Contested,Close Shot Middle,Step Back,,,
Shots Practice 25,6050.851425997192,13.0,Shots,28,,,,Miss 2,,,,,,,,,Miss 2,#2 Madden Collins,5-0,Highly Contested,Rim,Layup,,,
