Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 28 - Shots,1942.5959816717912,13.0,Shots,1,,,,,,,,,,,,Made 3,#33 Matt Mayock,N/A,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 28 - Shots,1997.9687454217913,13.0,Shots,2,,,,,,,,,,,,Miss 3,#23 Greg Jones,22+,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice 28 - Shots,2020.1780159227912,13.0,Shots,3,,,,,,,,,,,,Made 3,#2 Madden Collins,N/A,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 28 - Shots,2305.5004764217915,13.0,Shots,4,,,,,,,,,,,,Miss 3,#2 Madden Collins,5-0,Lightly Contested,Left Wing 3,Pullup,,,
Practice 28 - Shots,2397.5014304627916,13.0,Shots,5,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Lightly Contested,Rim,Layup,,,
Practice 28 - Shots,4273.2764063325685,13.0,Shots,6,,,,,,,,,,,,Made 3,#7 Wyatt Nausadis,N/A,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4395.575947475569,13.0,Shots,7,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,21-11,Lightly Contested,Close Shot Middle,Fadeaway,,,
Practice 28 - Shots,4514.629834957569,13.0,Shots,8,,,,,,,,,,,,Miss 3,#23 Greg Jones,"5-0, N/A",Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4539.689620224569,13.0,Shots,9,,,,,,,,,,,,Miss 3,#3 Dean Hogans,N/A,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4595.911114850569,13.0,Shots,10,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,N/A,Highly Contested,Rim,Layup,,,
Practice 28 - Shots,4625.313021141569,13.0,Shots,11,,,,,,,,,,,,Miss 2,#23 Greg Jones,5-0,Highly Contested,Rim,Hook,,,
Practice 28 - Shots,4637.001937307568,13.0,Shots,12,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,N/A,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 28 - Shots,4728.718621554569,13.0,Shots,13,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Floater,,,
Practice 28 - Shots,4736.864734969568,13.0,Shots,14,,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Lightly Contested,Rim,Layup,,,
Practice 28 - Shots,4754.749672974569,13.0,Shots,15,,,,,,,,,,,,Miss 2,#2 Madden Collins,N/A,Highly Contested,Rim,Layup,,,
Practice 28 - Shots,4764.105828935569,13.0,Shots,16,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Lightly Contested,Rim,Layup,,,
Practice 28 - Shots,4818.9758982455105,13.0,Shots,17,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4819.936286848511,13.0,Shots,18,,,,,,,,,,,,Miss 2,#9 Matthew Casey,21-11,Wide Open,Rim,Putback,,,
Practice 28 - Shots,4879.612892351511,13.0,Shots,19,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4946.785374358511,13.0,Shots,20,,,,,,,,,,,,Made 3,#33 Matt Mayock,5-0,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 28 - Shots,4977.3627375225105,13.0,Shots,21,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice 28 - Shots,4985.435432995511,13.0,Shots,22,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice 28 - Shots,5133.630989565511,13.0,Shots,23,,,,,,,,,,,,Made 3,#2 Madden Collins,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice 28 - Shots,5168.640871329511,13.0,Shots,24,,,,,,,,,,,,Miss 2,#13 Carson McDonald,10-6,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 28 - Shots,5208.829714843511,13.0,Shots,25,,,,,,,,,,,,Made 2,#16 Luke Brown,21-11,Lightly Contested,Rim,Dunk,,,
Practice 28 - Shots,5254.272285802511,13.0,Shots,26,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 28 - Shots,5260.402360912511,13.0,Shots,27,,,,,,,,,,,,Made 3,#3 Dean Hogans,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
