Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#22 Shane O'Reilly,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 2 Shots,3071.983005481,13.0,Shots,1,,,,,,,,,,,,,,Made 2,#1 Kamran Prince,21-11,Lightly Contested,Rim,Layup,,,
Practice 2 Shots,3117.060344706,13.0,Shots,2,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,10-6,Highly Contested,Rim,Layup,,,
Practice 2 Shots,3175.468724243,13.0,Shots,3,,,,,,,,,,,,,,Miss 2,#33 Matt Mayock,21-11,Highly Contested,Left Corner 2,Step Back,,,
Practice 2 Shots,3275.732284175,13.0,Shots,4,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,10-6,Highly Contested,Close Shot Middle,Hook,,,
Practice 2 Shots,3312.619817996,13.0,Shots,5,,,,,,,,,,,,,,Made 3,#33 Matt Mayock,21-11,"Wide Open, Lightly Contested",Left Wing 3,Catch & Shoot,,,
Practice 2 Shots,3385.133973555,13.0,Shots,6,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice 2 Shots,3780.014229097,13.0,Shots,7,,,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,10-6,Highly Contested,Close Shot Middle,Hook,,,
Practice 2 Shots,3875.564135874,13.0,Shots,8,,,,,,,,,,,,,,Miss 2,#7 Wyatt Nausadis,10-6,Highly Contested,Close Shot Right,Layup,,,
Practice 2 Shots,3950.488140769,13.0,Shots,9,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Close Shot Right,Hook,,,
Practice 2 Shots,4129.933225661,13.0,Shots,10,,,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
