Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#13 Carson McDonald,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #3 -- Shots,2800.121424806454,13.0,Shots,1,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,22+,Lightly Contested,Left Wing 3,Pullup,,,
Practice #3 -- Shots,2810.490089621454,13.0,Shots,2,,,,,,,,,,,,,Miss 2,#33 Matt Mayock,22+,Highly Contested,Rim,Layup,,,
Practice #3 -- Shots,2818.989688311454,13.0,Shots,3,,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,22+,Wide Open,Rim,Layup,,,
Practice #3 -- Shots,2876.813169520454,13.0,Shots,4,,,,,,,,,,,,,Miss 2,#32 Julen Iturbe,22+,Wide Open,Rim,Layup,,,
Practice #3 -- Shots,2962.672323052454,13.0,Shots,5,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,22+,Lightly Contested,Left Wing 3,Pullup,,,
Practice #3 -- Shots,3014.8061018954536,13.0,Shots,6,,,,,,,,,,,,,Made 2,#35 Chris Eagan,10-6,Highly Contested,Rim,Hook,,,
Practice #3 -- Shots,4642.725746011497,13.0,Shots,7,,,,,,,,,,,,,Made 2,#33 Matt Mayock,21-11,Wide Open,Rim,Layup,,,
Practice #3 -- Shots,4659.598017391498,13.0,Shots,8,,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #3 -- Shots,4714.564508890498,13.0,Shots,9,,,,,,,,,,,,,Miss 3,#2 Madden Collins,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #3 -- Shots,4746.183314516497,13.0,Shots,10,,,,,,,,,,,,,Made 2,#13 Carson McDonald,21-11,Highly Contested,Close Shot Middle,Hook,,,
Practice #3 -- Shots,4804.336758416497,13.0,Shots,11,,,,,,,,,,,,,Made 2,#13 Carson McDonald,21-11,Wide Open,Rim,Dunk,,,
Practice #3 -- Shots,4828.594041526498,13.0,Shots,12,,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,,Close Shot Middle,,,,
Practice #3 -- Shots,4926.179937896497,13.0,Shots,13,,,,,,,,,,,,,Miss 3,#23 Greg Jones,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #3 -- Shots,4951.888965341497,13.0,Shots,14,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #3 -- Shots,5035.1546083534295,13.0,Shots,15,,,,,,,,,,,,,Miss 3,#9 Matthew Casey,22+,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice #3 -- Shots,5064.54265200543,13.0,Shots,16,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
Practice #3 -- Shots,5106.93139708643,13.0,Shots,17,,,,,,,,,,,,,Made 2,#33 Matt Mayock,10-6,Highly Contested,Rim,Layup,,,
Practice #3 -- Shots,5177.948699855429,13.0,Shots,18,,,,,,,,,,,,,Miss 3,#21 Noah Jones,10-6,Highly Contested,Top of Key 3,Pullup,,,
Practice #3 -- Shots,5185.41935548043,13.0,Shots,19,,,,,,,,,,,,,Miss 2,#21 Noah Jones,21-11,Blocked,Close Shot Left,Layup,,,
Practice #3 -- Shots,5192.424856005429,13.0,Shots,20,,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Wide Open,Rim,Layup,,,
Practice #3 -- Shots,5205.4548536884295,13.0,Shots,21,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Hook,,,
Practice #3 -- Shots,5213.28544160343,13.0,Shots,22,,,,,,,,,,,,,Made 2,#2 Madden Collins,22+,Wide Open,Rim,Layup,,,
Practice #3 -- Shots,5309.22245701643,13.0,Shots,23,,,,,,,,,,,,,Miss 3,#2 Madden Collins,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #3 -- Shots,5318.700026640429,13.0,Shots,24,,,,,,,,,,,,,Made 3,#3 Dean Hogans,22+,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Practice #3 -- Shots,5325.307740016429,13.0,Shots,25,,,,,,,,,,,,,Made 3,#4 Kade Sebastian,22+,Lightly Contested,Left Wing 3,Pullup,,,
Practice #3 -- Shots,5401.03624526743,13.0,Shots,26,,,,,,,,,,,,,Miss 3,#9 Matthew Casey,22+,Highly Contested,Left Wing 3,Catch & Shoot,,,
Practice #3 -- Shots,5411.327322016429,13.0,Shots,27,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,22+,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice #3 -- Shots,5422.2774966834295,13.0,Shots,28,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Layup,,,
Practice #3 -- Shots,5432.95784643343,13.0,Shots,29,,,,,,,,,,,,,Made 3,#33 Matt Mayock,21-11,Highly Contested,Right Wing 3,Catch & Shoot,,,
