Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#7 Wyatt Nausadis,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Pracitce 36 - Shots,1753.098639573,13.0,Shots,1,,,,,,,,Made 3,,,,,,22+,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Pracitce 36 - Shots,1773.958133315839,13.0,Shots,2,,,,,,Miss 3,,,,,,,,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
Pracitce 36 - Shots,1815.414115729839,13.0,Shots,3,,,Made 3,,,,,,,,,,,22+,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Pracitce 36 - Shots,1833.800248442839,13.0,Shots,4,Made 3,,,,,,,,,,,,,10-6,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Pracitce 36 - Shots,1891.601283901839,13.0,Shots,5,,,,,Made 2,,,,,,,,,21-11,Highly Contested,Rim,Floater,,,
Pracitce 36 - Shots,1967.3662253488392,13.0,Shots,6,,,,,,,,,,,Miss 3,,,22+,Wide Open,Left Wing 3,Catch & Shoot,,,
Pracitce 36 - Shots,1989.104423316839,13.0,Shots,7,,,,,,Miss 2,,,,,,,,5-0,Highly Contested,Rim,Layup,,,
Pracitce 36 - Shots,2123.474062933,13.0,Shots,8,,,Made 2,,,,,,,,,,,21-11,Lightly Contested,Top of Key 2,Pullup,,,
Pracitce 36 - Shots,2141.978160516839,13.0,Shots,9,,,,Made 3,,,,,,,,,,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Pracitce 36 - Shots,2509.369220179652,13.0,Shots,10,Made 3,,,,,,,,,,,,,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Pracitce 36 - Shots,2631.226232552652,13.0,Shots,11,,,,Miss 2,,,,,,,,,,10-6,Highly Contested,Close Shot Left,Fadeaway,,,
