Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#21 Noah Jones,#22 Shane O'Reilly,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#8 Jack Anderson,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 3 Shots,2597.281962543,13.0,Shots,1,Made 2,,,,,,,,,,,,,Made 2,#1 Kamran Prince,21-11,Highly Contested,Rim,Layup,,,
Practice 3 Shots,2663.295983999,13.0,Shots,2,,,,,,,,Miss 3,,,,,,Miss 3,#32 Julen Iturbe,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice 3 Shots,2708.435120584,13.0,Shots,3,Miss 3,,,,,,,,,,,,,Miss 3,#1 Kamran Prince,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice 3 Shots,2760.276272999,13.0,Shots,4,,,,,,,,,,Miss 3,,,,Miss 3,#35 Chris Eagan,21-11,"Wide Open, Lightly Contested",Top of Key 3,Catch & Shoot,,,
Practice 3 Shots,2808.302050667,13.0,Shots,5,,,,,,Miss 2,,,,,,,,Miss 2,#22 Shane O'Reilly,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 3 Shots,2858.968124874,13.0,Shots,6,,,,,,,,,,,,Miss 2,,Miss 2,#7 Wyatt Nausadis,21-11,Highly Contested,Close Shot Left,Fadeaway,,,
Practice 3 Shots,2917.639982625,13.0,Shots,7,,,Miss 2,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Highly Contested,Rim,Hook,,,
Practice 3 Shots,2965.538891333,13.0,Shots,8,,,,,,,Miss 2,,,,,,,Miss 2,#23 Greg Jones,21-11,Highly Contested,Rim,Hook,,,
Practice 3 Shots,3112.156908166,13.0,Shots,9,,,Made 2,,,,,,,,,,,Made 2,#13 Carson McDonald,10-6,Lightly Contested,Rim,Layup,,,
Practice 3 Shots,3213.245958875,13.0,Shots,10,,Miss 3,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Highly Contested,Left Wing 3,Catch & Shoot,,,
Practice 3 Shots,3435.856865374,13.0,Shots,11,,,,Miss 3,,,,,,,,,,Miss 3,#16 Luke Brown,21-11,Highly Contested,Left Corner 3,Catch & Shoot,,,
Practice 3 Shots,3445.216410749,13.0,Shots,12,,,,,,,,,,,,Made 2,,"Made 3, Made 2",#7 Wyatt Nausadis,5-0,Highly Contested,Top of Key 2,Step Back,,,
Practice 3 Shots,3528.523423624,13.0,Shots,13,,Miss 3,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 3 Shots,3529.989102124,13.0,Shots,14,,,,,,,,Miss 2,,,,,,Miss 2,#32 Julen Iturbe,22+,Lightly Contested,Rim,Putback,,,
Practice 3 Shots,3531.74459504,13.0,Shots,15,,,,,,,,,,Made 2,,,,Made 2,#35 Chris Eagan,22+,Highly Contested,Rim,Putback,,,
Practice 3 Shots,3577.34817625,13.0,Shots,16,,,,,,,,,Made 3,,,,,Made 3,#33 Matt Mayock,10-6,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice 3 Shots,3903.741142168,13.0,Shots,17,,,,,,,,Made 3,,,,,,Made 3,#32 Julen Iturbe,5-0,Highly Contested,Right Corner 3,Catch & Shoot,,,
Practice 3 Shots,3926.633667501,13.0,Shots,18,,,,,,,,,Miss 3,,,,,Miss 3,#33 Matt Mayock,10-6,Highly Contested,Left Corner 3,Catch & Shoot,,,
Practice 3 Shots,4022.099840709,13.0,Shots,19,Made 2,,,,,,,,,,,,,Made 2,#1 Kamran Prince,22+,Wide Open,Rim,Layup,,,
Practice 3 Shots,4036.638625418,13.0,Shots,20,,,,,,,Made 3,,,,,,,Made 3,#23 Greg Jones,22+,Highly Contested,Right Corner 3,Catch & Shoot,,,
