Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#8 Jack Anderson,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #4 - Shots,3647.961900029566,13.0,Shots,1,,,,,,,,,,,,,,Miss 2,#8 Jack Anderson,21-11,Wide Open,Rim,Layup,,,
Practice #4 - Shots,3649.805468904566,13.0,Shots,2,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Putback,,,
Practice #4 - Shots,3761.073973356566,13.0,Shots,3,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Hook,,,
Practice #4 - Shots,3942.250018392566,13.0,Shots,4,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,5-0,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #4 - Shots,4220.023524946625,13.0,Shots,5,,,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Lightly Contested,Close Shot Middle,"Fadeaway, Fadeaway",,,
Practice #4 - Shots,4221.158358071625,13.0,Shots,6,,,,,,,,,,,,,,Miss 2,#4 Kade Sebastian,21-11,Highly Contested,Rim,Putback,,,
Practice #4 - Shots,4260.629646404625,13.0,Shots,7,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,21-11,Lightly Contested,Rim,Pullup,,,
Practice #4 - Shots,4271.8658699046255,13.0,Shots,8,,,,,,,,,,,,,,Made 2,#4 Kade Sebastian,21-11,Wide Open,Rim,Layup,,,
Practice #4 - Shots,4357.017130321626,13.0,Shots,9,,,,,,,,,,,,,,Made 2,#1 Kamran Prince,22+,Wide Open,Rim,Dunk,,,
Practice #4 - Shots,4380.282062529625,13.0,Shots,10,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice #4 - Shots,4436.989231128626,13.0,Shots,11,,,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,22+,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice #4 - Shots,4445.220401904626,13.0,Shots,12,,,,,,,,,,,,,,Miss 3,#35 Chris Eagan,21-11,Wide Open,Top of Key 3,Catch & Shoot,,,
Practice #4 - Shots,4446.496894685625,13.0,Shots,13,,,,,,,,,,,,,,Miss 3,#35 Chris Eagan,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice #4 - Shots,4555.412882613626,13.0,Shots,14,,,,,,,,,,,,,,Miss 3,#1 Kamran Prince,5-0,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice #4 - Shots,4571.148111571625,13.0,Shots,15,,,,,,,,,,,,,,Made 3,#23 Greg Jones,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
Practice #4 - Shots,4682.437310696625,13.0,Shots,16,,,,,,,,,,,,,,Miss 2,#1 Kamran Prince,10-6,Lightly Contested,Right Wing 2,Fadeaway,,,
Practice #4 - Shots,4704.395574112626,13.0,Shots,17,,,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,10-6,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice #4 - Shots,6403.548962135489,13.0,Shots,18,,,,,,,,,,,,,,Miss 2,#13 Carson McDonald,21-11,Lightly Contested,Rim,Layup,,,
Practice #4 - Shots,6411.101590967489,13.0,Shots,19,,,,,,,,,,,,,,Made 2,#7 Wyatt Nausadis,22+,Wide Open,Rim,Layup,,,
Practice #4 - Shots,6470.884689551489,13.0,Shots,20,,,,,,,,,,,,,,Miss 2,#23 Greg Jones,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
