Timeline,Start time,Duration,Row,Instance number,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#2 Madden Collins,#21 Noah Jones,#22 Shane O'Reilly,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#7 Wyatt Nausadis,#8 Jack Anderson,#9 Matthew Casey,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice 6 - Shots,3756.2633249647133,13.0,Shots,1,,,,,,,,,,,,,,,Made 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Layup,,,
Practice 6 - Shots,3830.568600799713,13.0,Shots,2,,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 6 - Shots,3932.986908346713,13.0,Shots,3,,,,,,,,,,,,,,,Miss 3,#4 Kade Sebastian,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 6 - Shots,4004.789122941713,13.0,Shots,4,,,,,,,,,,,,,,,Made 3,#21 Noah Jones,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 6 - Shots,4169.504944749713,13.0,Shots,5,,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,10-6,Lightly Contested,Right Wing 3,Pullup,,,
Practice 6 - Shots,4255.594586846713,13.0,Shots,6,,,,,,,,,,,,,,,Miss 2,#35 Chris Eagan,10-6,Highly Contested,Close Shot Right,Pullup,,,
Practice 6 - Shots,4261.497068051713,13.0,Shots,7,,,,,,,,,,,,,,,Made 2,#2 Madden Collins,5-0,Lightly Contested,Close Shot Middle,Fadeaway,,,
Practice 6 - Shots,4656.322433171713,13.0,Shots,8,,,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,5-0,Lightly Contested,Left Wing 3,Catch & Shoot,,,
Practice 6 - Shots,4729.789520753713,13.0,Shots,9,,,,,,,,,,,,,,,Miss 3,#21 Noah Jones,5-0,Wide Open,Right Wing 3,Catch & Shoot,,,
Practice 6 - Shots,4801.207042125713,13.0,Shots,10,,,,,,,,,,,,,,,Miss 2,#2 Madden Collins,21-11,Highly Contested,Close Shot Middle,Pullup,,,
Practice 6 - Shots,4956.297259952713,13.0,Shots,11,,,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
Practice 6 - Shots,5029.080839163713,13.0,Shots,12,,,,,,,,,,,,,,,Made 2,#23 Greg Jones,21-11,Wide Open,Rim,Layup,,,
Practice 6 - Shots,5189.707740049713,13.0,Shots,13,,,,,,,,,,,,,,,Made 2,#13 Carson McDonald,10-6,Wide Open,Close Shot Middle,Catch & Shoot,,,
Practice 6 - Shots,5218.977786090713,13.0,Shots,14,,,,,,,,,,,,,,,Miss 2,#2 Madden Collins,21-11,Lightly Contested,Right Wing 2,Pullup,,,
Practice 6 - Shots,5226.289919183713,13.0,Shots,15,,,,,,,,,,,,,,,Miss 3,#9 Matthew Casey,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice 6 - Shots,5387.900008722713,13.0,Shots,16,,,,,,,,,,,,,,,Made 2,#32 Julen Iturbe,21-11,Wide Open,Rim,Layup,,,
Practice 6 - Shots,5451.848170969713,13.0,Shots,17,,,,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Lightly Contested,Rim,Layup,,,
Practice 6 - Shots,5593.462496868713,13.0,Shots,18,,,,,,,,,,,,,,,Miss 2,#10 Adrian Samuels,22+,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice 6 - Shots,5644.840113287713,13.0,Shots,19,,,,,,,,,,,,,,,,,,,,,,,
Practice 6 - Shots,5668.593609973713,13.0,Shots,20,,,,,,,,,,,,,,,Made 3,#12 Geoff Sprouse,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice 6 - Shots,5723.012291664713,13.0,Shots,21,,,,,,,,,,,,,,,Miss 2,#8 Jack Anderson,22+,Highly Contested,Rim,Layup,,,
Practice 6 - Shots,5810.871940452713,13.0,Shots,22,,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
Practice 6 - Shots,5914.797333980713,13.0,Shots,23,,,,,,,,,,,,,,,Made 2,#2 Madden Collins,10-6,Lightly Contested,Rim,Layup,,,
