Timeline,Start time,Duration,Row,Instance number,#12 Geoff Sprouse,#2 Madden Collins,#21 Noah Jones,#23 Greg Jones,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
ShotsTagged,1349.6497059869985,13.0,Shots,1,,,,,,,Miss 2,,,,,10-6,Wide Open,Close Shot Left,Hook,,,
ShotsTagged,1367.9056975539984,13.0,Shots,2,,,,,,,,Made 2,,,,22+,Lightly Contested,Rim,Layup,,,
ShotsTagged,1434.6101171189985,13.0,Shots,3,,Miss 2,,,,,,,,,,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,1449.1641185019985,13.0,Shots,4,,,,,,Made 2,,,,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,1471.6539443619981,13.0,Shots,5,,,,,Miss 2,,,,,,,10-6,Lightly Contested,Rim,Layup,,,
ShotsTagged,1581.0552667329985,13.0,Shots,6,,,Miss 3,,,,,,,,,22+,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,1589.2191173919982,13.0,Shots,7,,,,,,,,,Miss 3,,,22+,Lightly Contested,Left Corner 3,Catch & Shoot,,,
ShotsTagged,1678.4775841139985,13.0,Shots,8,Made 2,,,,,,,,,,,22+,Wide Open,Rim,Layup,,,
ShotsTagged,3924.371630046006,13.0,Shots,9,,,,,,Made 2,,,,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,3944.1495210850057,13.0,Shots,10,,,,Made 2,,,,,,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,4000.2033829130064,13.0,Shots,11,,Miss 2,,,,,,,,,,10-6,Wide Open,Rim,Layup,,,
ShotsTagged,4031.1903771610064,13.0,Shots,12,,Miss 3,,,,,,,,,,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,4073.0328638070064,13.0,Shots,13,,,,,,Miss 3,,,,,,21-11,Wide Open,Left Wing 3,Pullup,,,
ShotsTagged,4075.953504250006,13.0,Shots,14,,Miss 2,,,,,,,,,,N/A,Lightly Contested,Rim,Layup,,,
ShotsTagged,4163.349575438006,13.0,Shots,15,,,,Made 3,,,,,,,,10-6,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,4203.329347869006,13.0,Shots,16,Miss 3,,,,,,,,,,,21-11,Wide Open,Left Wing 3,Pullup,,,
ShotsTagged,4262.214624990006,13.0,Shots,17,,,,,,,,Made 3,,,,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
ShotsTagged,4280.191703177005,13.0,Shots,18,,,,,,,,,Made 2,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,4295.037637436006,13.0,Shots,19,,,,,,,,,Miss 2,,,21-11,Lightly Contested,Close Shot Middle,Floater,,,
ShotsTagged,4298.399462441006,13.0,Shots,20,,,,,,,Made 2,,,,,21-11,Wide Open,Rim,Layup,,,
ShotsTagged,4375.622069290006,13.0,Shots,21,,,,,,,,Miss 2,,,,21-11,Lightly Contested,Rim,Layup,,,
ShotsTagged,4377.328947805006,13.0,Shots,22,,,,,,,Made 2,,,,,21-11,Wide Open,Rim,Putback,,,
ShotsTagged,4403.399211231006,13.0,Shots,23,,,,,,,Miss 2,,,,,10-6,Highly Contested,Close Shot Left,Fadeaway,,,
ShotsTagged,4545.449938775006,13.0,Shots,24,,,,,Miss 2,,,,,,,21-11,Wide Open,Close Shot Right,Floater,,,
ShotsTagged,4551.359809980006,13.0,Shots,25,,,,Miss 3,,,,,,,,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
ShotsTagged,4602.1437235280055,13.0,Shots,26,,,,,,Made 3,,,,,,21-11,Wide Open,Right Wing 3,Catch & Shoot,,,
ShotsTagged,4625.092670399005,13.0,Shots,27,Miss 3,,,,,,,,,,,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
ShotsTagged,4652.245634494006,13.0,Shots,28,,Miss 3,,,,,,,,,,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
ShotsTagged,4654.971547508006,13.0,Shots,29,,,,,,,,Miss 2,,,,21-11,Highly Contested,Rim,Layup,,,
ShotsTagged,4719.406414790005,13.0,Shots,30,,,,,,,Made 3,,,,,21-11,Wide Open,Right Corner 3,Catch & Shoot,,,
