Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-03 Wake Forest vs American,52.057,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Right Wing 3,Step Back,,,,,,,,
2025-11-03 Wake Forest vs American,125.061,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Highly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,182.595,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,310.518,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,330.15,8.0,American Shots,5,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,412.86,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,417.068,8.0,American Shots,7,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,750.252,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Left Wing 2,Pullup,,,,,,,,
2025-11-03 Wake Forest vs American,832.119,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,889.832,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,959.286,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,1081.116,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,1082.075,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#13 Carson McDonald,,,,21-11,,Lightly Contested,Rim,Putback,,,,,,,,
2025-11-03 Wake Forest vs American,1323.985,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,5-0,,Highly Contested,Close Shot Middle,Pullup,,,,,,,,
2025-11-03 Wake Forest vs American,1427.792,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,1548.225,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Wide Open,Right Wing 3,Pullup,,,,,,,,
2025-11-03 Wake Forest vs American,1564.223,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-03 Wake Forest vs American,1569.261,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,1765.249,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,1790.07,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-03 Wake Forest vs American,2126.477,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Right Corner 3,Step Back,,,,,,,,
2025-11-03 Wake Forest vs American,2292.791,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
