Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Foul Severity,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-12-03 American vs Drexel,52.212,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-03 American vs Drexel,81.614,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-03 American vs Drexel,117.508,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-03 American vs Drexel,144.485,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-03 American vs Drexel,207.3,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-03 American vs Drexel,225.48,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Left Corner 2,Pullup,,,,,,,,
2025-12-03 American vs Drexel,238.99,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-03 American vs Drexel,292.303,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-12-03 American vs Drexel,336.436,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-12-03 American vs Drexel,366.311,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-12-03 American vs Drexel,548.275,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-03 American vs Drexel,570.35,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
