Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-12-06 American vs Maryland-Eastern Shore,55.562,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,88.546,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,134.204,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Close Shot Right,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,281.279,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,310.281,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,323.654,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,375.844,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Floater,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,406.605,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,462.574,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,655.493,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,741.016,8.0,American Shots,11,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1031.348,8.0,American Shots,12,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1160.117,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1235.126,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1325.979,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Right Wing 3,Step Back,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1350.304,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1356.666,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1374.063,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1404.465,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1440.838,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Right Wing 3,Step Back,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1664.077,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1665.826,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#3 Dean Hogans,,,,21-11,,Wide Open,Rim,Putback,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1746.578,8.0,American Shots,23,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1840.76,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,1911.484,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Rim,Hook,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2084.119,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2085.168,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Wide Open,Rim,Putback,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2107.422,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2202.809,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2270.024,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2329.783,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2499.341,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2593.468,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Blocked,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2660.573,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2703.455,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Rim,Dunk,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2735.825,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
