Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU @UVA Shots,155.289,8.0,American Shots,1,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU @UVA Shots,199.073,8.0,American Shots,2,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU @UVA Shots,232.532,8.0,American Shots,3,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,309.45,8.0,American Shots,4,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,5-0,,Wide Open,Top of Key 3,Pullup,,,,
AU @UVA Shots,397.055,8.0,American Shots,5,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,5-0,,Highly Contested,Left Wing 3,Pullup,,,,
AU @UVA Shots,694.524,8.0,American Shots,6,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,5-0,,Highly Contested,Close Shot Middle,Floater,,,,
AU @UVA Shots,779.3,8.0,American Shots,7,,,,,No Foul,,,,,Miss 3,#35 Chris Eagan,,,,21-11,,Wide Open,Top of Key 3,Other,,,,
AU @UVA Shots,814.885,8.0,American Shots,8,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,859.523,8.0,American Shots,9,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU @UVA Shots,908.341,8.0,American Shots,10,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,5-0,,Highly Contested,Left Corner 2,Step Back,,,,
AU @UVA Shots,930.092,8.0,American Shots,11,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,951.73,8.0,American Shots,12,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,
AU @UVA Shots,968.747,8.0,American Shots,13,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,5-0,,Highly Contested,Top of Key 3,Pullup,,,,
AU @UVA Shots,1242.513,8.0,American Shots,14,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU @UVA Shots,1324.868,8.0,American Shots,15,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU @UVA Shots,1408.253,8.0,American Shots,16,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,1516.953,8.0,American Shots,17,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU @UVA Shots,1540.546,8.0,American Shots,18,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,1545.948,8.0,American Shots,19,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU @UVA Shots,1567.784,8.0,American Shots,20,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,5-0,,Wide Open,Right Corner 3,Catch & Shoot,,,,
AU @UVA Shots,1848.44,8.0,American Shots,21,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,5-0,,Highly Contested,Top of Key 2,Fadeaway,,,,
AU @UVA Shots,1961.151,8.0,American Shots,22,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Floater,,,,
AU @UVA Shots,2085.449,8.0,American Shots,23,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,2122.409,8.0,American Shots,24,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU @UVA Shots,2262.746,8.0,American Shots,25,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,
AU @UVA Shots,2304.998,8.0,American Shots,26,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,
