Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-07 Colgate vs American,34.461,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-07 Colgate vs American,72.639,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-07 Colgate vs American,148.845,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-07 Colgate vs American,264.07,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,317.549,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Floater,,,,,,,,
2026-01-07 Colgate vs American,336.52,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Floater,,,,,,,,
2026-01-07 Colgate vs American,355.128,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2026-01-07 Colgate vs American,359.399,8.0,American Shots,8,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,558.959,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2026-01-07 Colgate vs American,640.357,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-07 Colgate vs American,643.931,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,714.827,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Blocked,Rim,Floater,,,,,,,,
2026-01-07 Colgate vs American,756.233,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-07 Colgate vs American,1023.817,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#16 Luke Brown,,,,21-11,,Lightly Contested,Rim,Dunk,,,,,,,,
2026-01-07 Colgate vs American,1071.186,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-07 Colgate vs American,1128.275,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-07 Colgate vs American,1173.925,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,1241.658,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,1269.467,8.0,American Shots,19,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,1514.646,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Hook,,,,,,,,
2026-01-07 Colgate vs American,1611.477,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-07 Colgate vs American,1777.789,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-07 Colgate vs American,2100.985,8.0,American Shots,23,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2026-01-07 Colgate vs American,2211.26,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-07 Colgate vs American,2402.129,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Left,Hook,,,,,,,,
2026-01-07 Colgate vs American,2547.533,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-07 Colgate vs American,2568.935,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,,,,,
