Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-10 American vs Holy Cross,44.368,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,120.538,8.000000000000014,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-10 American vs Holy Cross,153.9,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,170.385,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,272.877,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,278.821,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,544.142,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Right Corner 3,,,,,,,,,
2026-01-10 American vs Holy Cross,629.822,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,720.488,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Top of Key 2,Hook,,,,,,,,
2026-01-10 American vs Holy Cross,723.035,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
