Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-12 American vs Navy,63.761,7.999999999999993,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,118.92,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,154.997,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,181.849,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,189.762,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,253.132,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,255.755,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Putback,,,,,,,,
2026-01-12 American vs Navy,325.583,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,327.708,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Putback,,,,,,,,
2026-01-12 American vs Navy,368.453,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2026-01-12 American vs Navy,408.503,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,711.533,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,768.544,8.0,American Shots,13,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,840.714,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,879.559,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-12 American vs Navy,970.149,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,1167.48,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,1195.968,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1243.995,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1250.98,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1258.622,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1426.608,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1683.153,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#16 Luke Brown,,,,5-0,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1727.626,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#16 Luke Brown,,,,21-11,,Lightly Contested,Rim,Dunk,,,,,,,,
2026-01-12 American vs Navy,1730.456,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,1802.346,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-12 American vs Navy,2046.327,8.000000000000227,American Shots,27,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Blocked,Left Corner 2,Step Back,,,,,,,,
2026-01-12 American vs Navy,2235.368,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,2275.985,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,2353.367,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,2389.564,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-12 American vs Navy,2640.343,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2026-01-12 American vs Navy,2674.881,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,2768.797,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,2773.632,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,2807.418,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-12 American vs Navy,2903.975,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,2935.937,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,2972.8,8.0,American Shots,39,,,,,,,,,Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,3080.479,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,3110.08,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2026-01-12 American vs Navy,3141.712,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3147.395,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3185.807,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-12 American vs Navy,3284.986,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3307.405,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3353.822,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Top of Key 3,Pullup,,,,,,,,
2026-01-12 American vs Navy,3588.495,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,3623.059,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2026-01-12 American vs Navy,3711.819,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#35 Chris Eagan,,,,5-0,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3716.012,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,3746.913,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,3795.626,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-12 American vs Navy,4015.505,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,4066.21,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,4163.633,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-12 American vs Navy,4211.619,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,4409.528,8.0,American Shots,58,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Floater,,,,,,,,
2026-01-12 American vs Navy,4511.296,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,4560.619,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,4798.393,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Top of Key 3,Step Back,,,,,,,,
2026-01-12 American vs Navy,4885.611,8.0,American Shots,62,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Right Wing 3,Step Back,,,,,,,,
2026-01-12 American vs Navy,4986.286,8.0,American Shots,63,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-12 American vs Navy,5241.416,8.0,American Shots,64,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Lightly Contested,Top of Key 2,Pullup,,,,,,,,
2026-01-12 American vs Navy,5267.383,8.0,American Shots,65,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,5617.676,8.0,American Shots,66,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,5719.893,8.0,American Shots,67,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-12 American vs Navy,5903.629,8.0,American Shots,68,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-12 American vs Navy,5921.813,8.0,American Shots,69,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
