Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-18 Army vs American (1),18.067,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),49.8,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),90.956,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),147.995,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),185.308,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),216.581,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),250.539,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),275.01,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),472.705,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),748.648,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-18 Army vs American (1),857.979,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),920.58,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),971.299,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1202.916,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1320.921,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-18 Army vs American (1),1355.174,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1359.01,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1395.743,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),1673.952,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1730.441,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#16 Luke Brown,,,,21-11,,Wide Open,Rim,Floater,,,,,,,,
2026-01-18 Army vs American (1),1788.092,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),1794.622,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),2030.857,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-01-18 Army vs American (1),2060.868,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),2076.795,8.0,American Shots,25,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),2224.094,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),2313.691,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Close Shot Middle,Floater,,,,,,,,
2026-01-18 Army vs American (1),2392.885,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-01-18 Army vs American (1),2455.955,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2026-01-18 Army vs American (1),2491.068,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
