Timeline,Start time,Duration,Row,Instance number,Foul,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
American Shots,30.653,8,American Shots,1,No Foul,Made 3,#32 Julen Iturbe,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
American Shots,81.425,8,American Shots,2,No Foul,Miss 3,#12 Geoff Sprouse,22+,Highly Contested,Right Wing 3,Catch & Shoot,,,
American Shots,228.707,8,American Shots,3,No Foul,Miss 2,#33 Matt Mayock,6-Oct,Highly Contested,Rim,Layup,,,
American Shots,229.962,8,American Shots,4,No Foul,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Rim,Putback,,,
American Shots,323.96,8,American Shots,5,No Foul,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
American Shots,395.947,8,American Shots,6,No Foul,Miss 3,#23 Greg Jones,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
American Shots,485.283,8,American Shots,7,No Foul,Miss 3,#7 Wyatt Nausadis,22+,Wide Open,Top of Key 3,Catch & Shoot,,,
American Shots,519.429,8,American Shots,8,No Foul,Made 2,#2 Madden Collins,21-11,Highly Contested,Close Shot Middle,Fadeaway,,,
American Shots,545.269,8,American Shots,9,No Foul,Miss 3,#4 Kade Sebastian,22+,Wide Open,Left Corner 3,Catch & Shoot,,,
American Shots,727.648,8,American Shots,10,No Foul,Miss 3,#2 Madden Collins,21-11,Wide Open,Left Wing 3,Catch & Shoot,,,
American Shots,747.467,8,American Shots,11,Foul,Miss 2,#13 Carson McDonald,22+,Lightly Contested,Rim,Dunk,,,
American Shots,844.842,8,American Shots,12,No Foul,Made 2,#7 Wyatt Nausadis,21-11,Lightly Contested,Close Shot Middle,Floater,,,
American Shots,858.622,8,American Shots,13,No Foul,Made 2,#2 Madden Collins,22+,Wide Open,Rim,Layup,,,
American Shots,900.738,8,American Shots,14,No Foul,Miss 3,#32 Julen Iturbe,21-11,Lightly Contested,Top of Key 3,Catch & Shoot,,,
American Shots,970.913,8,American Shots,15,No Foul,Made 2,#33 Matt Mayock,21-11,Wide Open,Close Shot Right,Layup,,,
American Shots,1109.995,8,American Shots,16,No Foul,Made 3,#32 Julen Iturbe,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
American Shots,1132.016,8,American Shots,17,No Foul,Miss 3,#2 Madden Collins,22+,Lightly Contested,Right Wing 3,Pullup,,,
American Shots,1352.156,8,American Shots,18,No Foul,Miss 3,#2 Madden Collins,21-11,Lightly Contested,Right Wing 3,Catch & Shoot,,,
American Shots,1489.65,8,American Shots,19,No Foul,Made 2,#2 Madden Collins,22+,Highly Contested,Close Shot Right,Layup,,,
American Shots,1551.698,8,American Shots,20,No Foul,Made 2,#2 Madden Collins,6-Oct,Highly Contested,Close Shot Middle,Floater,,,
American Shots,1591.521,8,American Shots,21,No Foul,Made 2,#32 Julen Iturbe,21-11,Highly Contested,Close Shot Right,Layup,,,
American Shots,1808.32,8,American Shots,22,No Foul,Made 2,#23 Greg Jones,21-11,Lightly Contested,Rim,Layup,,,
American Shots,1889.42,8,American Shots,23,No Foul,Made 2,#13 Carson McDonald,21-11,Highly Contested,Rim,Layup,,,
American Shots,1913.026,8,American Shots,24,No Foul,Miss 2,#7 Wyatt Nausadis,21-11,Lightly Contested,Close Shot Left,Floater,,,
American Shots,2156.782,8,American Shots,25,No Foul,Miss 3,#33 Matt Mayock,6-Oct,Highly Contested,Top of Key 3,Pullup,,,
American Shots,2367.533,8,American Shots,26,No Foul,Made 2,#13 Carson McDonald,6-Oct,Highly Contested,Rim,Hook,,,
American Shots,2379.872,8,American Shots,27,Foul,Miss 2,#7 Wyatt Nausadis,22+,Highly Contested,Close Shot Left,Layup,,,
American Shots,2520.029,8,American Shots,28,No Foul,Miss 2,#35 Chris Eagan,6-Oct,Blocked,Rim,Layup,,,
American Shots,2525.616,8,American Shots,29,No Foul,Miss 2,#33 Matt Mayock,May-00,Highly Contested,Close Shot Middle,Pullup,,,
