Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-21 American vs Colgate (2),38.733,8.0,American Shots,1,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),113.336,8.0,American Shots,2,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),160.084,8.0,American Shots,3,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Right Wing 3,Pullup,,,,,,,,
2026-01-21 American vs Colgate (2),288.541,8.0,American Shots,4,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),508.953,8.0,American Shots,5,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Left,Floater,,,,,,,,
2026-01-21 American vs Colgate (2),513.394,8.0,American Shots,6,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),648.541,8.0,American Shots,7,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),728.706,8.0,American Shots,8,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),835.524,8.0,American Shots,9,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),846.583,8.0,American Shots,10,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1132.529,8.0,American Shots,11,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2026-01-21 American vs Colgate (2),1207.593,8.0,American Shots,12,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1232.112,8.0,American Shots,13,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1360.215,8.0,American Shots,14,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1389.354,8.0,American Shots,15,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Close Shot Middle,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1549.245,8.0,American Shots,16,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1585.988,8.0,American Shots,17,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1804.492,8.0,American Shots,18,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1860.994,8.0,American Shots,19,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,5-0,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),1909.453,8.0,American Shots,20,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,5-0,,Lightly Contested,Left Wing 2,Step Back,,,,,,,,
2026-01-21 American vs Colgate (2),1943.308,8.0,American Shots,21,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),2202.69,8.0,American Shots,22,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),2224.138,8.0,American Shots,23,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),2267.76,8.0,American Shots,24,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),2314.578,8.0,American Shots,25,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),2395.096,8.0,American Shots,26,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),2498.342,8.0,American Shots,27,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),2646.1,8.0,American Shots,28,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),2718.807,8.0,American Shots,29,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),2748.178,8.0,American Shots,30,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3145.076,8.0,American Shots,31,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Blocked,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-21 American vs Colgate (2),3154.064,8.0,American Shots,32,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Floater,,,,,,,,
2026-01-21 American vs Colgate (2),3232.737,8.0,American Shots,33,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3327.044,8.0,American Shots,34,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3379.159,8.0,American Shots,35,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Left Wing 3,Other,,,,,,,,
2026-01-21 American vs Colgate (2),3387.519,8.0,American Shots,36,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3647.488,8.0,American Shots,37,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3913.385,8.0,American Shots,38,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),3917.335,8.0,American Shots,39,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),3963.654,8.0,American Shots,40,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),4082.37,8.0,American Shots,41,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
