Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-24 Holy Cross vs American (1),46.525,8.0,American Shots,1,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),82.922,8.0,American Shots,2,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),158.021,8.0,American Shots,3,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),228.934,8.0,American Shots,4,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-01-24 Holy Cross vs American (1),263.351,8.0,American Shots,5,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-24 Holy Cross vs American (1),285.817,8.0,American Shots,6,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),300.6,8.0,American Shots,7,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),531.007,8.0,American Shots,8,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),557.831,8.0,American Shots,9,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),587.362,8.0,American Shots,10,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),708.942,8.0,American Shots,11,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),791.006,8.0,American Shots,12,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),816.891,8.0,American Shots,13,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),890.232,8.0,American Shots,14,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),1085.53,8.0,American Shots,15,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Close Shot Right,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1104.125,8.0,American Shots,16,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1157.354,8.0,American Shots,17,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),1183.857,8.0,American Shots,18,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1221.822,8.0,American Shots,19,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),1242.803,8.0,American Shots,20,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Close Shot Middle,Pullup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1442.7,8.0,American Shots,21,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1486.669,8.0,American Shots,22,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1489.177,8.0,American Shots,23,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1515.704,8.0,American Shots,24,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1560.435,8.0,American Shots,25,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Hook,,,,,,,,
2026-01-24 Holy Cross vs American (1),1593.203,8.0,American Shots,26,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1609.758,8.0,American Shots,27,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),1614.806,8.0,American Shots,28,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1838.479,8.0,American Shots,29,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),1875.771,8.0,American Shots,30,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-24 Holy Cross vs American (1),1964.037,8.0,American Shots,31,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),2243.661,8.0,American Shots,32,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Blocked,Close Shot Right,Floater,,,,,,,,
2026-01-24 Holy Cross vs American (1),2372.915,8.0,American Shots,33,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),2438.829,8.0,American Shots,34,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2026-01-24 Holy Cross vs American (1),2521.641,8.0,American Shots,35,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),2638.697,8.0,American Shots,36,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),2725.173,8.0,American Shots,37,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),3035.868,8.0,American Shots,38,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Right,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3087.853,8.0,American Shots,39,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Close Shot Right,Floater,,,,,,,,
2026-01-24 Holy Cross vs American (1),3108.704,8.0,American Shots,40,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3195.872,8.0,American Shots,41,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3244.922,8.0,American Shots,42,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),3496.58,8.0,American Shots,43,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3522.507,8.0,American Shots,44,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3575.49,8.0,American Shots,45,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-24 Holy Cross vs American (1),3601.589,8.0,American Shots,46,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),3630.336,8.0,American Shots,47,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),3818.968,8.0,American Shots,48,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
