Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-28 Loyola (MD) vs American,21.034,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Dunk,,,,,,,,
2026-01-28 Loyola (MD) vs American,58.893,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Step Back,,,,,,,,
2026-01-28 Loyola (MD) vs American,125.991,8.000000000000014,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,151.039,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,194.139,8.0,American Shots,5,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,272.474,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Dunk,,,,,,,,
2026-01-28 Loyola (MD) vs American,396.95,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,436.172,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,470.444,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,511.144,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,543.79,8.0,American Shots,11,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,806.26,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2026-01-28 Loyola (MD) vs American,834.096,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,866.213,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,1100.824,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1160.656,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Top of Key 3,Step Back,,,,,,,,
2026-01-28 Loyola (MD) vs American,1180.036,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1262.878,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Floater,,,,,,,,
2026-01-28 Loyola (MD) vs American,1280.237,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,1318.401,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1345.363,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,1435.82,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,1742.362,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#3 Dean Hogans,,,,10-6,,Blocked,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1777.957,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,,,,,
2026-01-28 Loyola (MD) vs American,1907.813,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1942.144,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,1970.049,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
