Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-31 American vs Lafayette,43.926,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,55.985,8.0,American Shots,2,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,178.235,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-31 American vs Lafayette,183.794,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Right Corner 3,Pullup,,,,,,,,
2026-01-31 American vs Lafayette,214.86,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Dunk,,,,,,,,
2026-01-31 American vs Lafayette,237.766,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,327.122,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,622.158,8.0,American Shots,8,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,719.553,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,857.928,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,919.181,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-01-31 American vs Lafayette,981.076,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#16 Luke Brown,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1008.388,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-31 American vs Lafayette,1030.626,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1037.45,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,1090.154,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,1394.603,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1463.314,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1479.498,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1856.34,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-31 American vs Lafayette,1866.57,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1920.346,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,1940.792,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1956.684,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,1983.865,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,2038.43,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,2224.494,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Left,Floater,,,,,,,,
2026-01-31 American vs Lafayette,2255.09,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,2320.8,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#3 Dean Hogans,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-31 American vs Lafayette,2397.596,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,2445.622,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2026-01-31 American vs Lafayette,2483.987,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Hook,,,,,,,,
2026-01-31 American vs Lafayette,2589.966,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,2646.618,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Left Wing 3,Step Back,,,,,,,,
2026-01-31 American vs Lafayette,2761.63,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,,,,,
2026-01-31 American vs Lafayette,2789.531,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,2808.6,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,2936.686,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Close Shot Right,Pullup,,,,,,,,
2026-01-31 American vs Lafayette,2962.093,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
