Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-02-04 American vs Bucknell,41.29,8.0,American Shots,1,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,158.296,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-02-04 American vs Bucknell,178.946,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,203.109,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,256.428,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,409.741,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,674.679,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,732.055,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,760.58,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,825.95,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Left Wing 3,Fadeaway,,,,,,,,
2026-02-04 American vs Bucknell,908.48,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,911.684,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Putback,,,,,,,,
2026-02-04 American vs Bucknell,960.74,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,993.372,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-02-04 American vs Bucknell,1258.314,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,1292.819,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,1324.229,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,1436.213,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,1493.139,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,10-6,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,1537.438,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,1569.498,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,1570.668,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Putback,,,,,,,,
2026-02-04 American vs Bucknell,1766.218,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,1940.973,8.0,American Shots,24,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2095.384,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,2149.24,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2402.208,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,2435.076,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2478.661,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2598.754,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Left,Hook,,,,,,,,
2026-02-04 American vs Bucknell,2639.052,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,5-0,,Lightly Contested,Close Shot Right,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2642.955,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2649.108,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,2855.453,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,2989.273,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
