Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,63.59,8.0,American Shots,1,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots,94.387,8.0,American Shots,2,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,144.504,8.0,American Shots,3,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Close Shot Right,Floater,,,,
AU Shots,166.096,8.0,American Shots,4,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,199.627,8.0,American Shots,5,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Wing 3,Step Back,,,,
AU Shots,254.956,8.000000000000028,American Shots,6,,,,,No Foul,,,,,Made 3,#2 Madden Collins,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,430.378,8.0,American Shots,7,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,464.956,8.0,American Shots,8,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Left Wing 3,Pullup,,,,
AU Shots,532.9,8.0,American Shots,9,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,5-0,,Blocked,Right Wing 3,Catch & Shoot,,,,
AU Shots,537.966,8.0,American Shots,10,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Blocked,Right Wing 2,Step Back,,,,
AU Shots,703.184,8.0,American Shots,11,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,10-6,,Wide Open,Right Wing 2,Pullup,,,,
AU Shots,747.681,8.0,American Shots,12,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,22+,,Blocked,Close Shot Right,Floater,,,,
AU Shots,839.075,8.0,American Shots,13,,,,,Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Right,Floater,,,,
