Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,19.776,8.0,American Shots,1,,,,,No Foul,,,,,Made 2,#12 Geoff Sprouse,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,114.892,8.0,American Shots,2,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,185.936,8.0,American Shots,3,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,217.161,8.0,American Shots,4,,,,,No Foul,,,,,Made 2,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Close Shot Right,Fadeaway,,,,
AU Shots,266.553,8.0,American Shots,5,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,10-6,,Highly Contested,Right Wing 3,Pullup,,,,
AU Shots,295.513,8.0,American Shots,6,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots,468.773,8.0,American Shots,7,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,509.058,8.0,American Shots,8,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,595.538,8.0,American Shots,9,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Left Corner 2,Pullup,,,,
AU Shots,683.187,8.0,American Shots,10,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,707.856,8.0,American Shots,11,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,750.19,8.0,American Shots,12,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,788.501,8.0,American Shots,13,,,,,No Foul,,,,,Miss 3,#3 Dean Hogans,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,970.061,8.0,American Shots,14,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,1007.175,8.0,American Shots,15,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,5-0,,Wide Open,Rim,Layup,,,,
AU Shots,1075.784,8.0,American Shots,16,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,1094.025,8.0,American Shots,17,,,,,Foul,,,,,Miss 2,#32 Julen Iturbe,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,1231.142,8.0,American Shots,18,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,
AU Shots,1300.419,8.0,American Shots,19,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Left,Hook,,,,
AU Shots,1303.494,8.0,American Shots,20,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots,1338.765,8.0,American Shots,21,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,1358.095,8.0,American Shots,22,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,1391.896,8.0,American Shots,23,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,1423.028,8.0,American Shots,24,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,
AU Shots,1652.678,8.0,American Shots,25,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,10-6,,Blocked,Rim,Layup,,,,
AU Shots,1729.163,8.0,American Shots,26,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Top of Key 3,Pullup,,,,
AU Shots,1913.88,8.0,American Shots,27,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Floater,,,,
AU Shots,1984.941,8.0,American Shots,28,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Middle,Hook,,,,
AU Shots,2111.971,8.0,American Shots,29,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Blocked,Close Shot Middle,Layup,,,,
AU Shots,2143.756,8.0,American Shots,30,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,
AU Shots,2166.453,8.0,American Shots,31,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,5-0,,Highly Contested,Close Shot Middle,Layup,,,,
