Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,51.423,8.0,American Shots,1,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,10-6,,Highly Contested,Close Shot Right,Hook,,,,
AU Shots,129.344,8.0,American Shots,2,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,226.321,8.0,American Shots,3,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,305.271,8.0,American Shots,4,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Hook,,,,
AU Shots,323.569,8.0,American Shots,5,,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,5-0,,Lightly Contested,Close Shot Right,Fadeaway,,,,
AU Shots,343.695,8.0,American Shots,6,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Lightly Contested,Close Shot Right,Layup,,,,
AU Shots,406.056,8.0,American Shots,7,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,
AU Shots,435.542,8.0,American Shots,8,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,22+,,Wide Open,Left Corner 3,Catch & Shoot,,,,
AU Shots,666.724,8.0,American Shots,9,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,892.618,8.0,American Shots,10,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Blocked,Rim,Layup,,,,
AU Shots,1186.617,8.0,American Shots,11,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,1210.692,8.0,American Shots,12,,,,,No Foul,,,,,Made 2,#12 Geoff Sprouse,,,,22+,,Wide Open,Close Shot Middle,Fadeaway,,,,
AU Shots,1278.246,8.0,American Shots,13,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,1307.763,8.0,American Shots,14,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,1360.168,8.0,American Shots,15,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots,1394.453,8.0,American Shots,16,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,1442.165,8.0,American Shots,17,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,1536.23,8.0,American Shots,18,,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,1556.281,8.0,American Shots,19,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,
