Timeline,Start time,Duration,Row,Instance number,Assist,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,29.511,8.000000000000004,American Shots,1,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots,96.272,8.0,American Shots,2,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,5-0,,Wide Open,Left Corner 3,Catch & Shoot,,,,
AU Shots,130.538,8.0,American Shots,3,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,134.65,8.0,American Shots,4,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots,306.197,8.0,American Shots,5,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Lightly Contested,Top of Key 3,Step Back,,,,
AU Shots,353.157,8.0,American Shots,6,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,358.43,8.0,American Shots,7,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,10-6,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,638.27,8.0,American Shots,8,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,674.707,8.0,American Shots,9,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,22+,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots,743.829,8.0,American Shots,10,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,
AU Shots,809.021,8.0,American Shots,11,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots,919.164,8.0,American Shots,12,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,982.899,8.0,American Shots,13,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,1011.979,8.0,American Shots,14,,,,No Foul,,,,,Miss 3,#3 Dean Hogans,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,1247.239,8.0,American Shots,15,,,,Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Rim,Layup,,,,
AU Shots,1333.423,8.0,American Shots,16,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,1379.184,8.0,American Shots,17,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,1478.653,8.0,American Shots,18,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots,1517.102,8.0,American Shots,19,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Hook,,,,
AU Shots,1791.049,8.0,American Shots,20,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Middle,Layup,,,,
AU Shots,1953.952,8.0,American Shots,21,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,2111.813,8.0,American Shots,22,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots,2425.554,8.0,American Shots,23,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,5-0,,Highly Contested,Rim,Layup,,,,
