Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,44.506,8.0,American Shots,1,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,132.731,8.0,American Shots,2,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,148.493,8.0,American Shots,3,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,
AU Shots,205.216,8.0,American Shots,4,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,231.331,8.0,American Shots,5,,,,,Foul,,,,,Miss 2,#33 Matt Mayock,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,314.127,8.0,American Shots,6,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,447.19,8.0,American Shots,7,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,659.749,8.0,American Shots,8,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,5-0,,Lightly Contested,Close Shot Left,Fadeaway,,,,
AU Shots,696.186,8.0,American Shots,9,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots,746.779,8.0,American Shots,10,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,843.395,8.0,American Shots,11,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,899.858,8.0,American Shots,12,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,927.717,8.0,American Shots,13,,,,,No Foul,,,,,Miss 2,#4 Kade Sebastian,,,,22+,,Wide Open,Rim,Layup,,,,
AU Shots,930.638,8.0,American Shots,14,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots,968.718,8.0,American Shots,15,,,,,No Foul,,,,,Made 2,#12 Geoff Sprouse,,,,21-11,,Wide Open,Rim,Layup,,,,
AU Shots,1240.198,8.0,American Shots,16,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Highly Contested,Rim,Layup,,,,
