Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-12 George Washington vs American,46.187,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,78.938,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,110.72,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,134.363,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,244.165,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Close Shot Left,Pullup,,,,,,,,
2025-11-12 George Washington vs American,284.712,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,304.05,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,569.591,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#13 Carson McDonald,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-12 George Washington vs American,582.454,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,638.017,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
