Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
Au Shots,20.046,8.0,American Shots,1,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,10-6,,Wide Open,Rim,Layup,,,,
Au Shots,61.507,8.000000000000007,American Shots,2,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,10-6,,Wide Open,Rim,Layup,,,,
Au Shots,87.313,8.0,American Shots,3,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
Au Shots,148.629,8.0,American Shots,4,,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
Au Shots,212.925,8.0,American Shots,5,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
Au Shots,247.971,8.0,American Shots,6,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,10-6,,Highly Contested,Left Wing 3,Pullup,,,,
Au Shots,266.704,8.0,American Shots,7,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,22+,,Highly Contested,Left Corner 3,Catch & Shoot,,,,
Au Shots,300.745,8.0,American Shots,8,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Layup,,,,
Au Shots,487.04,8.0,American Shots,9,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Left,Fadeaway,,,,
Au Shots,575.367,8.0,American Shots,10,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
Au Shots,638.695,8.0,American Shots,11,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,
Au Shots,746.903,8.0,American Shots,12,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,
Au Shots,978.409,8.0,American Shots,13,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,
Au Shots,1022.228,8.000000000000114,American Shots,14,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Left,Layup,,,,
Au Shots,1067.555,8.0,American Shots,15,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
Au Shots,1180.251,8.0,American Shots,16,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,
Au Shots,1215.914,8.0,American Shots,17,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
Au Shots,1282.662,8.0,American Shots,18,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,
Au Shots,1514.704,8.0,American Shots,19,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Step Back,,,,
