Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,103.504,8.0,American Shots,1,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
AU Shots,146.756,8.0,American Shots,2,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,179.651,8.0,American Shots,3,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,192.688,8.0,American Shots,4,,,,,No Foul,,,,,Miss 2,#12 Geoff Sprouse,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,241.337,8.0,American Shots,5,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,272.687,8.0,American Shots,6,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,305.646,8.0,American Shots,7,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,21-11,,Blocked,Close Shot Left,Layup,,,,
AU Shots,336.194,8.0,American Shots,8,,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,21-11,,Wide Open,Right Corner 3,Catch & Shoot,,,,
AU Shots,383.729,8.0,American Shots,9,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,589.357,8.0,American Shots,10,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,674.053,8.0,American Shots,11,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Left Wing 3,Pullup,,,,
AU Shots,698.493,8.0,American Shots,12,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,838.943,8.0,American Shots,13,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,10-6,,Lightly Contested,Left Wing 3,Pullup,,,,
AU Shots,1078.198,8.0,American Shots,14,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,
AU Shots,1121.196,8.0,American Shots,15,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,1134.029,8.0,American Shots,16,,,,,No Foul,,,,,Miss 3,#3 Dean Hogans,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,1321.265,8.0,American Shots,17,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,1376.322,8.0,American Shots,18,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,1461.453,8.0,American Shots,19,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,
