Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,53.257,8.0,American Shots,1,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,98.098,8.0,American Shots,2,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,184.082,8.0,American Shots,3,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU Shots,217.625,8.0,American Shots,4,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,267.081,8.0,American Shots,5,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Blocked,Rim,Layup,,,,
AU Shots,269.031,8.0,American Shots,6,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,
AU Shots,348.647,8.0,American Shots,7,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,550.434,8.0,American Shots,8,,,,,No Foul,,,,,Miss 3,#35 Chris Eagan,,,,10-6,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,619.452,8.0,American Shots,9,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Lightly Contested,Top of Key 2,Pullup,,,,
AU Shots,701.196,8.0,American Shots,10,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Close Shot Middle,Pullup,,,,
AU Shots,763.36,8.0,American Shots,11,,,,,Foul,,,,,Miss 2,#4 Kade Sebastian,,,,22+,,Blocked,Rim,Layup,,,,
AU Shots,868.354,8.0,American Shots,12,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,10-6,,Blocked,Rim,Layup,,,,
AU Shots,1096.875,8.0,American Shots,13,,,,,Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Layup,,,,
AU Shots,1221.868,8.0,American Shots,14,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Left Wing 3,Fadeaway,,,,
AU Shots,1238.288,8.0,American Shots,15,,,,,Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Highly Contested,Rim,Floater,,,,
AU Shots,1344.014,8.0,American Shots,16,,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,1417.057,8.0,American Shots,17,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,1646.345,8.0,American Shots,18,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,1654.176,8.0,American Shots,19,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,21-11,,Lightly Contested,Close Shot Middle,Fadeaway,,,,
AU Shots,1702.555,8.0,American Shots,20,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Top of Key 2,Step Back,,,,
AU Shots,1744.194,8.0,American Shots,21,,,,,No Foul,,,,,Made 2,#7 Wyatt Nausadis,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots,1818.057,8.0,American Shots,22,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,1843.896,8.0,American Shots,23,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Wide Open,Close Shot Middle,Fadeaway,,,,
AU Shots,2048.012,8.0,American Shots,24,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Step Back,,,,
AU Shots,2064.597,8.0,American Shots,25,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Top of Key 3,Pullup,,,,
AU Shots,2102.65,8.0,American Shots,26,,,,,No Foul,,,,,Made 3,#2 Madden Collins,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,2436.042,8.0,American Shots,27,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,10-6,,Lightly Contested,Rim,Dunk,,,,
AU Shots,2570.282,8.0,American Shots,28,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,2609.15,8.0,American Shots,29,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,2654.817,8.0,American Shots,30,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,2658.619,8.0,American Shots,31,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Hook,,,,
AU Shots,2927.512,8.0,American Shots,32,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,10-6,,Wide Open,Right Wing 3,Catch & Shoot,,,,
AU Shots,2929.618,8.0,American Shots,33,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Putback,,,,
AU Shots,2972.93,8.0,American Shots,34,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,3002.251,8.0,American Shots,35,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,3226.448,8.0,American Shots,36,,,,,Foul,,,,,Made 2,#2 Madden Collins,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,3297.63,8.0,American Shots,37,,,,,No Foul,,,,,Miss 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,
AU Shots,3319.9,8.0,American Shots,38,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,3367.269,8.0,American Shots,39,,,,,No Foul,,,,,Miss 2,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Close Shot Right,Floater,,,,
AU Shots,3372.369,8.0,American Shots,40,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,
AU Shots,3375.907,8.0,American Shots,41,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,
AU Shots,3507.99,8.0,American Shots,42,,,,,No Foul,,,,,Made 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,3586.129,8.0,American Shots,43,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,3817.95,8.0,American Shots,44,,,,,No Foul,,,,,Made 2,#33 Matt Mayock,,,,22+,,Lightly Contested,Close Shot Left,Floater,,,,
AU Shots,3878.516,8.0,American Shots,45,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Blocked,Rim,Layup,,,,
AU Shots,3892.449,8.0,American Shots,46,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,3943.197,8.0,American Shots,47,,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,5-0,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots,4047.592,8.0,American Shots,48,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Middle,Hook,,,,
AU Shots,4329.542,8.0,American Shots,49,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,4356.412,8.0,American Shots,50,,,,,No Foul,,,,,Miss 2,#12 Geoff Sprouse,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,4357.619,8.0,American Shots,51,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Putback,,,,
AU Shots,4385.169,8.0,American Shots,52,,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,22+,,Lightly Contested,Rim,Layup,,,,
AU Shots,4537.652,8.0,American Shots,53,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,4587.903,8.0,American Shots,54,,,,,No Foul,,,,,Miss 3,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Left Wing 3,Step Back,,,,
AU Shots,4607.824,8.0,American Shots,55,,,,,No Foul,,,,,Miss 2,#32 Julen Iturbe,,,,5-0,,Highly Contested,Rim,Hook,,,,
AU Shots,4653.112,8.0,American Shots,56,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots,4898.963,8.0,American Shots,57,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,10-6,,Blocked,Left Wing 2,Step Back,,,,
AU Shots,4942.308,8.0,American Shots,58,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,
AU Shots,5002.799,8.0,American Shots,59,,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Layup,,,,
AU Shots,5191.86,8.0,American Shots,60,,,,,Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,5267.945,8.0,American Shots,61,,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,
AU Shots,5415.272,8.0,American Shots,62,,,,,Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
