Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-15 American vs Central Pennsylvania,17.791,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,22.105,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-15 American vs Central Pennsylvania,26.454,8.0,American Shots,3,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,132.835,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,160.366,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,226.665,8.0,American Shots,6,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,481.124,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,511.298,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Close Shot Right,Floater,,,,,,,,
2025-11-15 American vs Central Pennsylvania,523.351,8.0,American Shots,9,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-15 American vs Central Pennsylvania,750.717,8.0,American Shots,10,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#13 Carson McDonald,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
