Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-18 Rutgers vs American,38.605,8.0,American Shots,1,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,61.274,8.0,American Shots,2,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,118.426,8.0,American Shots,3,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,199.136,8.0,American Shots,4,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,265.811,8.0,American Shots,5,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Close Shot Left,Floater,,,,,,,,
2025-11-18 Rutgers vs American,494.931,8.0,American Shots,6,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,512.207,8.0,American Shots,7,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,536.261,8.0,American Shots,8,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,22+,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,625.077,8.0,American Shots,9,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,652.134,8.0,American Shots,10,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
