Timeline,Start time,Duration,Row,Instance number,Assist,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
Shots Marywood,27.477,7.9999999999999964,American Shots,1,,,,No Foul,,,,,Made 3,#33 Matt Mayock,,,,10-6,,Wide Open,Left Corner 3,Catch & Shoot,,,,
Shots Marywood,96.871,8.0,American Shots,2,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,
Shots Marywood,252.204,8.0,American Shots,3,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,5-0,,Highly Contested,Rim,Layup,,,,
Shots Marywood,282.543,8.0,American Shots,4,,,,No Foul,,,,,Miss 2,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,
Shots Marywood,284.311,8.0,American Shots,5,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,21-11,,Wide Open,Rim,Putback,,,,
Shots Marywood,369.648,8.0,American Shots,6,,,,No Foul,,,,,Made 2,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Rim,Layup,,,,
Shots Marywood,391.77,8.0,American Shots,7,,,,Foul,,,,,Made 2,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,
Shots Marywood,622.802,8.0,American Shots,8,,,,No Foul,,,,,Made 2,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Left,Floater,,,,
Shots Marywood,662.133,8.0,American Shots,9,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
Shots Marywood,691.745,8.0,American Shots,10,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,
Shots Marywood,753.184,8.0,American Shots,11,,,,No Foul,,,,,Miss 2,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,
Shots Marywood,799.071,8.0,American Shots,12,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,22+,,Highly Contested,Left Corner 3,Catch & Shoot,,,,
Shots Marywood,810.902,8.0,American Shots,13,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Middle,Layup,,,,
Shots Marywood,828.711,8.0,American Shots,14,,,,No Foul,,,,,Miss 2,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Layup,,,,
Shots Marywood,831.564,8.0,American Shots,15,,,,Foul,,,,,Miss 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Rim,Layup,,,,
