Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-28 American vs Maine,77.326,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,158.002,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Close Shot Left,Floater,,,,,,,,
2025-11-28 American vs Maine,229.412,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,332.572,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Close Shot Left,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,394.691,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-28 American vs Maine,430.958,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Middle,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,466.939,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#4 Kade Sebastian,,,,10-6,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,500.161,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,536.3,8.0,American Shots,9,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,766.764,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,868.271,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,920.062,8.0,American Shots,12,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Rim,Other,,,,,,,,
2025-11-28 American vs Maine,997.632,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1288.331,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,1329.021,8.0,American Shots,15,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,1425.912,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#3 Dean Hogans,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1501.822,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1781.341,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#3 Dean Hogans,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,1809.819,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1865.314,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,1871.238,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1953.174,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,1971.497,8.0,American Shots,23,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,22+,,Highly Contested,Close Shot Right,Floater,,,,,,,,
2025-11-28 American vs Maine,2053.168,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,2106.526,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,2133.793,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,2146.085,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,2435.529,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Right Wing 3,Step Back,,,,,,,,
2025-11-28 American vs Maine,2500.962,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,2623.682,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Left,Hook,,,,,,,,
2025-11-28 American vs Maine,2670.14,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,2812.064,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,2853.209,8.0,American Shots,33,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,2991.736,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,3070.219,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,3097.172,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,3159.215,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Wide Open,Left Corner 3,Pullup,,,,,,,,
2025-11-28 American vs Maine,3191.992,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#4 Kade Sebastian,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,3428.813,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Highly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-28 American vs Maine,3480.843,8.0,American Shots,40,,,,,,,,,Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Close Shot Left,Layup,,,,,,,,
2025-11-28 American vs Maine,3541.093,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,3564.898,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,3590.495,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,3614.969,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Left Wing 3,Pullup,,,,,,,,
2025-11-28 American vs Maine,3687.655,8.0,American Shots,45,,,,,,,,,Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,3917.769,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Blocked,Left Wing 2,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,4381.991,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,4426.886,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,4526.074,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Right Wing 3,Step Back,,,,,,,,
2025-11-28 American vs Maine,4601.87,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,4606.181,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,4648.251,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Floater,,,,,,,,
2025-11-28 American vs Maine,4868.895,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-28 American vs Maine,4903.429,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,4951.695,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,5052.193,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,10-6,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,5099.454,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Left,Hook,,,,,,,,
2025-11-28 American vs Maine,5225.281,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-28 American vs Maine,5493.145,8.0,American Shots,59,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-28 American vs Maine,5744.301,8.0,American Shots,60,,,,,,,,,Foul,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
