Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Foul Severity,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-29 American vs Siena,60.361,8.000000000000007,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Fadeaway,,,,,,,,
2025-11-29 American vs Siena,142.289,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-29 American vs Siena,203.422,8.0,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-29 American vs Siena,228.6,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-29 American vs Siena,232.287,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-29 American vs Siena,290.19,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Hook,,,,,,,,
2025-11-29 American vs Siena,376.993,8.0,American Shots,7,,,,,,,,,Foul,,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-29 American vs Siena,551.98,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Dunk,,,,,,,,
2025-11-29 American vs Siena,574.397,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-29 American vs Siena,723.294,8.0,American Shots,10,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
