Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-30 American vs Longwood,74.896,8.0,American Shots,1,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Wide Open,Left Wing 3,Step Back,,,,,,,,
2025-11-30 American vs Longwood,146.258,8.0,American Shots,2,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,252.295,8.000000000000028,American Shots,3,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,282.069,8.0,American Shots,4,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Close Shot Left,Layup,,,,,,,,
2025-11-30 American vs Longwood,368.957,8.0,American Shots,5,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-30 American vs Longwood,455.611,8.0,American Shots,6,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,653.876,8.0,American Shots,7,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,10-6,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-30 American vs Longwood,736.088,8.0,American Shots,8,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-30 American vs Longwood,740.712,8.0,American Shots,9,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,763.19,8.0,American Shots,10,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,912.919,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,967.967,8.0,American Shots,12,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,1028.505,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,1627.295,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,1715.555,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,1831.876,8.0,American Shots,16,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,1906.979,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,1940.043,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Wing 3,Step Back,,,,,,,,
2025-11-30 American vs Longwood,2004.258,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2032.745,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2341.294,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-30 American vs Longwood,2371.638,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2396.402,8.0,American Shots,23,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,2570.77,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2614.45,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2629.364,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,2673.995,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-30 American vs Longwood,2699.425,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,2953.562,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,3009.012,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Top of Key 3,Step Back,,,,,,,,
2025-11-30 American vs Longwood,3265.414,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,N/A,,Highly Contested,Right Wing 3,Other,,,,,,,,
2025-11-30 American vs Longwood,3296.443,8.0,American Shots,32,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-30 American vs Longwood,3434.474,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-30 American vs Longwood,3488.275,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-30 American vs Longwood,3577.733,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,3693.65,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,3756.559,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,4063.401,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-30 American vs Longwood,4073.902,8.0,American Shots,39,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,4135.801,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,4191.921,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,4289.441,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,4296.621,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,4347.359,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,5-0,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-30 American vs Longwood,4389.15,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,4858.378,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,5068.488,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,5069.825,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Putback,,,,,,,,
2025-11-30 American vs Longwood,5164.078,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-30 American vs Longwood,5274.648,8.0,American Shots,50,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,5368.191,8.0,American Shots,51,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,5845.629,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,5849.774,8.0,American Shots,53,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,5900.352,8.0,American Shots,54,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Highly Contested,Rim,Other,,,,,,,,
2025-11-30 American vs Longwood,5990.936,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#16 Luke Brown,,,,5-0,,Lightly Contested,Close Shot Left,Floater,,,,,,,,
2025-11-30 American vs Longwood,6003.863,8.0,American Shots,56,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,6181.925,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,6286.528,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,6503.534,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,6727.236,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,10-6,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-30 American vs Longwood,6804.757,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-30 American vs Longwood,6838.407,8.0,American Shots,62,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,10-6,,Wide Open,Left Wing 3,Pullup,,,,,,,,
